LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1738257275.333430,1720864.000,10063,2,RD,1,100,TL
1738257275.333430,1720864.000,10063,2,RD,1,100,TU
1738257277.891039,1723421.500,10887,2,RD,1,100,TL
1738257280.448648,1725979.000,10887,2,RD,1,100,TU
1738257283.000756,1728531.000,11722,2,RD,1,100,TL
1738257285.552865,1731083.000,11722,2,RD,1,100,TU
1738257288.109473,1733639.500,12558,2,RD,1,100,TL
1738257290.666082,1736196.000,12558,2,RD,1,100,TU
1738257293.220191,1738750.000,13394,2,RD,1,100,TL
1738257295.774299,1741304.000,13394,2,RD,1,100,TU
1738257298.345408,1743875.000,14247,2,RD,1,100,TL
1738257300.916517,1746446.000,14247,2,RD,1,100,TU
1738257303.470126,1748999.500,15083,2,RD,1,100,TL
1738257306.023735,1751553.000,15083,2,RD,1,100,TU
1738257308.591844,1754121.000,15920,2,RD,1,100,TL
1738257311.159953,1756689.000,15920,2,RD,1,100,TU
1738257313.715561,1759244.500,16759,2,RD,1,100,TL
1738257316.271170,1761800.000,16759,2,RD,1,100,TU
1738257318.825279,1764354.000,17594,2,RD,1,100,TL
1738257321.379387,1766908.000,17594,2,RD,1,100,TU
1738257323.935996,1769464.500,18437,2,RD,1,100,TL
1738257326.492604,1772021.000,18437,2,RD,1,100,TU
1738257329.048713,1774577.000,19273,2,RD,1,100,TL
1738257331.604822,1777133.000,19273,2,RD,1,100,TU
1738257334.160430,1779688.500,20108,2,RD,1,100,TL
1738257336.716039,1782244.000,20108,2,RD,1,100,TU
1738257339.269648,1784797.500,20944,2,RD,1,100,TL
1738257341.823256,1787351.000,20944,2,RD,1,100,TU
1738257344.382365,1789910.000,21780,2,RD,1,100,TL
1738257346.941473,1792469.000,21780,2,RD,1,100,TU
1738257349.495582,1795023.000,22620,2,RD,1,100,TL
1738257352.049691,1797577.000,22620,2,RD,1,100,TU
1738257354.605799,1800133.000,23457,2,RD,1,100,TL
1738257357.161908,1802689.000,23457,2,RD,1,100,TU
1738257359.716017,1805243.000,24295,2,RD,1,100,TL
1738257362.270125,1807797.000,24295,2,RD,1,100,TU
1738257364.824234,1810351.000,25135,2,RD,1,100,TL
1738257367.378342,1812905.000,25135,2,RD,1,100,TU
1738257369.931451,1815458.000,25971,2,RD,1,100,TL
1738257372.484559,1818011.000,25971,2,RD,1,100,TU
1738257375.058168,1820584.500,26807,2,RD,1,100,TL
1738257377.631778,1823158.000,26807,2,RD,1,100,TU
1738257380.185886,1825712.000,27646,2,RD,1,100,TL
1738257382.739995,1828266.000,27646,2,RD,1,100,TU
1738257385.307104,1830833.000,28497,2,RD,1,100,TL
1738257387.874213,1833400.000,28497,2,RD,1,100,TU
1738257390.440322,1835966.000,29334,2,RD,1,100,TL
1738257393.006431,1838532.000,29334,2,RD,1,100,TU
1738257395.559040,1841084.500,30174,2,RD,1,100,TL
1738257398.111648,1843637.000,30174,2,RD,1,100,TU
1738257400.665257,1846190.500,31012,2,RD,1,100,TL
1738257403.218865,1848744.000,31012,2,RD,1,100,TU
1738257405.773474,1851298.500,31835,2,RD,1,100,TL
1738257408.328083,1853853.000,31835,2,RD,1,100,TU
1738257410.892191,1856417.000,32656,2,RD,1,100,TL
1738257413.456300,1858981.000,32656,2,RD,1,100,TU
1738257416.022909,1861547.500,33493,2,RD,1,100,TL
1738257418.589519,1864114.000,33493,2,RD,1,100,TU
1738257421.161128,1866685.500,34271,2,RD,1,100,TL
1738257423.732737,1869257.000,34271,2,RD,1,100,TU
1738257426.299846,1871824.000,35108,2,RD,1,100,TL
1738257428.866955,1874391.000,35108,2,RD,1,100,TU
1738257431.435065,1876959.000,35945,2,RD,1,100,TL
1738257434.003174,1879527.000,35945,2,RD,1,100,TU
1738257436.557782,1882081.500,36766,2,RD,1,100,TL
1738257439.112391,1884636.000,36766,2,RD,1,100,TU
1738257441.678000,1887201.500,37602,2,RD,1,100,TL
1738257444.243609,1889767.000,37602,2,RD,1,100,TU
1738257446.813718,1892337.000,38438,2,RD,1,100,TL
1738257449.383827,1894907.000,38438,2,RD,1,100,TU
1738257451.953437,1897476.500,39274,2,RD,1,100,TL
1738257454.523046,1900046.000,39274,2,RD,1,100,TU
1738257457.086155,1902609.000,40111,2,RD,1,100,TL
1738257459.649264,1905172.000,40111,2,RD,1,100,TU
1738257462.216873,1907739.500,40952,2,RD,1,100,TL
1738257464.784482,1910307.000,40952,2,RD,1,100,TU
1738257467.338590,1912861.000,41778,2,RD,1,100,TL
1738257469.892699,1915415.000,41778,2,RD,1,100,TU
1738257472.465308,1917987.500,42617,2,RD,1,100,TL
1738257475.037918,1920560.000,42617,2,RD,1,100,TU
1738257477.597526,1923119.500,43454,2,RD,1,100,TL
1738257480.157135,1925679.000,43454,2,RD,1,100,TU
1738257482.720244,1928242.000,44290,2,RD,1,100,TL
1738257485.283353,1930805.000,44290,2,RD,1,100,TU
1738257487.845962,1933367.500,45128,2,RD,1,100,TL
1738257490.408571,1935930.000,45128,2,RD,1,100,TU
1738257492.967680,1938489.000,45965,2,RD,1,100,TL
1738257495.526788,1941048.000,45965,2,RD,1,100,TU
1738257498.094398,1943615.500,46803,2,RD,1,100,TL
1738257500.662007,1946183.000,46803,2,RD,1,100,TU
1738257503.224616,1948745.500,47624,2,RD,1,100,TL
1738257505.787224,1951308.000,47624,2,RD,1,100,TU
1738257508.347333,1953868.000,48464,2,RD,1,100,TL
1738257510.907442,1956428.000,48464,2,RD,1,100,TU
1738257513.480051,1959000.500,49300,2,RD,1,100,TL
1738257516.052661,1961573.000,49300,2,RD,1,100,TU
1738257518.619270,1964139.500,50136,2,RD,1,100,TL
1738257521.185879,1966706.000,50136,2,RD,1,100,TU
1738257523.757988,1969278.000,50973,2,RD,1,100,TL
1738257526.330097,1971850.000,50973,2,RD,1,100,TU
1738257528.903207,1974423.000,51813,2,RD,1,100,TL
1738257531.476316,1976996.000,51813,2,RD,1,100,TU
1738257534.031425,1979551.000,52639,2,RD,1,100,TL
1738257536.586533,1982106.000,52639,2,RD,1,100,TU
1738257539.150142,1984669.500,53484,2,RD,1,100,TL
1738257541.713751,1987233.000,53484,2,RD,1,100,TU
1738257544.289861,1989809.000,54325,2,RD,1,100,TL
1738257546.865970,1992385.000,54325,2,RD,1,100,TU
1738257549.445080,1994964.000,55168,2,RD,1,100,TL
1738257552.024189,1997543.000,55168,2,RD,1,100,TU
1738257554.582798,2000101.500,56007,2,RD,1,100,TL
1738257557.141407,2002660.000,56007,2,RD,1,100,TU
