LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1738263922.816340,206976.000,28503,1,AX,1,100,0.378
1738263922.856341,207016.000,28517,3,AX,1,100,0.383
1738263922.896343,207056.000,28517,3,AX,1,100,0.384
1738263922.936344,207096.000,28517,3,AX,1,100,0.382
1738263922.975845,207135.500,28534,2,AX,1,100,0.376
1738263923.015346,207175.000,28534,2,AX,1,100,0.386
1738263923.055681,207215.333,28551,3,AX,1,100,0.382
1738263923.096016,207255.667,28551,3,AX,1,100,0.386
1738263923.136350,207296.000,28551,3,AX,1,100,0.373
1738263923.175852,207335.500,28567,2,AX,1,100,0.385
1738263923.215353,207375.000,28567,2,AX,1,100,0.376
1738263923.255354,207415.000,28582,3,AX,1,100,0.385
1738263923.295355,207455.000,28582,3,AX,1,100,0.384
1738263923.335357,207495.000,28582,3,AX,1,100,0.385
1738263923.375358,207535.000,28598,2,AX,1,100,0.380
1738263923.415359,207575.000,28598,2,AX,1,100,0.384
1738263923.455694,207615.333,28613,3,AX,1,100,0.384
1738263923.496028,207655.667,28613,3,AX,1,100,0.381
1738263923.536363,207696.000,28613,3,AX,1,100,0.382
1738263923.575864,207735.500,28631,2,AX,1,100,0.380
1738263923.615366,207775.000,28631,2,AX,1,100,0.388
1738263923.655700,207815.333,28647,3,AX,1,100,0.374
1738263923.696035,207855.667,28647,3,AX,1,100,0.382
1738263923.736370,207896.000,28647,3,AX,1,100,0.385
1738263923.775871,207935.500,28662,2,AX,1,100,0.381
1738263923.815372,207975.000,28662,2,AX,1,100,0.383
1738263923.855373,208015.000,28677,3,AX,1,100,0.380
1738263923.895375,208055.000,28677,3,AX,1,100,0.379
1738263923.935376,208095.000,28677,3,AX,1,100,0.381
1738263923.975377,208135.000,28694,3,AX,1,100,0.393
1738263924.015378,208175.000,28694,3,AX,1,100,0.381
1738263924.055380,208215.000,28694,3,AX,1,100,0.393
1738263924.095381,208255.000,28711,2,AX,1,100,0.383
1738263924.135382,208295.000,28711,2,AX,1,100,0.386
1738263924.171050,208330.667,28726,3,AX,1,100,0.378
1738263924.206718,208366.333,28726,3,AX,1,100,0.396
1738263924.242386,208402.000,28726,3,AX,1,100,0.378
1738263924.282387,208442.000,28742,2,AX,1,100,0.381
1738263924.322388,208482.000,28742,2,AX,1,100,0.387
1738263924.362390,208522.000,28758,3,AX,1,100,0.378
1738263924.402391,208562.000,28758,3,AX,1,100,0.377
1738263924.442392,208602.000,28758,3,AX,1,100,0.384
1738263924.482394,208642.000,28773,3,AX,1,100,0.388
1738263924.522395,208682.000,28773,3,AX,1,100,0.386
1738263924.562396,208722.000,28773,3,AX,1,100,0.382
1738263924.602397,208762.000,28788,2,AX,1,100,0.391
1738263924.642399,208802.000,28788,2,AX,1,100,0.385
1738263924.682400,208842.000,28804,3,AX,1,100,0.390
1738263924.722401,208882.000,28804,3,AX,1,100,0.381
1738263924.762403,208922.000,28804,3,AX,1,100,0.391
1738263924.802404,208962.000,28822,2,AX,1,100,0.383
1738263924.842405,209002.000,28822,2,AX,1,100,0.380
1738263924.882406,209042.000,28837,3,AX,1,100,0.388
1738263924.922408,209082.000,28837,3,AX,1,100,0.380
1738263924.962409,209122.000,28837,3,AX,1,100,0.396
1738263925.002410,209162.000,28854,2,AX,1,100,0.377
1738263925.042411,209202.000,28854,2,AX,1,100,0.391
1738263925.082413,209242.000,28868,3,AX,1,100,0.391
1738263925.122414,209282.000,28868,3,AX,1,100,0.380
1738263925.162415,209322.000,28868,3,AX,1,100,0.385
1738263925.202416,209362.000,28884,2,AX,1,100,0.386
1738263925.242418,209402.000,28884,2,AX,1,100,0.389
1738263925.282419,209442.000,28900,3,AX,1,100,0.384
1738263925.322420,209482.000,28900,3,AX,1,100,0.389
1738263925.362422,209522.000,28900,3,AX,1,100,0.385
1738263925.402423,209562.000,28916,2,AX,1,100,0.386
1738263925.442424,209602.000,28916,2,AX,1,100,0.387
1738263925.482425,209642.000,28930,3,AX,1,100,0.388
1738263925.522427,209682.000,28930,3,AX,1,100,0.388
1738263925.562428,209722.000,28930,3,AX,1,100,0.383
1738263925.602429,209762.000,28949,3,AX,1,100,0.396
1738263925.642431,209802.000,28949,3,AX,1,100,0.385
1738263925.682432,209842.000,28949,3,AX,1,100,0.386
1738263925.722433,209882.000,28964,2,AX,1,100,0.387
1738263925.762434,209922.000,28964,2,AX,1,100,0.399
1738263925.802436,209962.000,28980,3,AX,1,100,0.383
1738263925.842437,210002.000,28980,3,AX,1,100,0.387
1738263925.882438,210042.000,28980,3,AX,1,100,0.389
1738263925.922440,210082.000,28994,2,AX,1,100,0.395
1738263925.962441,210122.000,28994,2,AX,1,100,0.387
1738263926.002442,210162.000,29011,3,AX,1,100,0.388
1738263926.042444,210202.000,29011,3,AX,1,100,0.392
1738263926.082445,210242.000,29011,3,AX,1,100,0.386
1738263926.122446,210282.000,29026,2,AX,1,100,0.403
1738263926.162447,210322.000,29026,2,AX,1,100,0.367
1738263926.202449,210362.000,29042,3,AX,1,100,0.403
1738263926.242450,210402.000,29042,3,AX,1,100,0.390
1738263926.282451,210442.000,29042,3,AX,1,100,0.387
1738263926.322453,210482.000,29057,2,AX,1,100,0.391
1738263926.362454,210522.000,29057,2,AX,1,100,0.384
1738263926.402455,210562.000,29073,3,AX,1,100,0.390
