LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1738263926.828235,174760.000,25271,1,AY,1,100,0.204
1738263926.868237,174800.000,25288,3,AY,1,100,0.204
1738263926.908238,174840.000,25288,3,AY,1,100,0.211
1738263926.948240,174880.000,25288,3,AY,1,100,0.195
1738263926.988241,174920.000,25305,2,AY,1,100,0.208
1738263927.028243,174960.000,25305,2,AY,1,100,0.202
1738263927.068245,175000.000,25321,3,AY,1,100,0.200
1738263927.108246,175040.000,25321,3,AY,1,100,0.203
1738263927.148248,175080.000,25321,3,AY,1,100,0.205
1738263927.188249,175120.000,25338,2,AY,1,100,0.202
1738263927.228251,175160.000,25338,2,AY,1,100,0.200
1738263927.268253,175200.000,25358,3,AY,1,100,0.206
1738263927.308254,175240.000,25358,3,AY,1,100,0.202
1738263927.348256,175280.000,25358,3,AY,1,100,0.203
1738263927.388258,175320.000,25375,2,AY,1,100,0.204
1738263927.428259,175360.000,25375,2,AY,1,100,0.201
1738263927.468261,175400.000,25392,3,AY,1,100,0.204
1738263927.508262,175440.000,25392,3,AY,1,100,0.204
1738263927.548264,175480.000,25392,3,AY,1,100,0.202
1738263927.588265,175520.000,25408,3,AY,1,100,0.206
1738263927.628267,175560.000,25408,3,AY,1,100,0.200
1738263927.668269,175600.000,25408,3,AY,1,100,0.204
1738263927.708270,175640.000,25424,2,AY,1,100,0.203
1738263927.748272,175680.000,25424,2,AY,1,100,0.199
1738263927.788273,175720.000,25441,3,AY,1,100,0.206
1738263927.828275,175760.000,25441,3,AY,1,100,0.197
1738263927.868277,175800.000,25441,3,AY,1,100,0.205
1738263927.908278,175840.000,25458,2,AY,1,100,0.203
1738263927.948280,175880.000,25458,2,AY,1,100,0.199
1738263927.988281,175920.000,25475,3,AY,1,100,0.202
1738263928.028283,175960.000,25475,3,AY,1,100,0.208
1738263928.068285,176000.000,25475,3,AY,1,100,0.200
1738263928.108286,176040.000,25490,2,AY,1,100,0.200
1738263928.148288,176080.000,25490,2,AY,1,100,0.204
1738263928.188289,176120.000,25508,3,AY,1,100,0.201
1738263928.228291,176160.000,25508,3,AY,1,100,0.199
1738263928.268292,176200.000,25508,3,AY,1,100,0.211
1738263928.314794,176246.500,25524,2,AY,1,100,0.183
1738263928.361296,176293.000,25524,2,AY,1,100,0.219
1738263928.401298,176333.000,25541,3,AY,1,100,0.187
1738263928.441299,176373.000,25541,3,AY,1,100,0.213
1738263928.481301,176413.000,25541,3,AY,1,100,0.189
1738263928.521303,176453.000,25557,2,AY,1,100,0.198
1738263928.561304,176493.000,25557,2,AY,1,100,0.201
1738263928.601306,176533.000,25574,3,AY,1,100,0.186
1738263928.641307,176573.000,25574,3,AY,1,100,0.194
1738263928.681309,176613.000,25574,3,AY,1,100,0.190
1738263928.721311,176653.000,25590,2,AY,1,100,0.181
1738263928.761312,176693.000,25590,2,AY,1,100,0.172
1738263928.801314,176733.000,25608,3,AY,1,100,0.167
1738263928.841316,176773.000,25608,3,AY,1,100,0.157
1738263928.881317,176813.000,25608,3,AY,1,100,0.166
1738263928.921319,176853.000,25623,2,AY,1,100,0.159
1738263928.961320,176893.000,25623,2,AY,1,100,0.168
1738263929.001322,176933.000,25640,3,AY,1,100,0.160
1738263929.041323,176973.000,25640,3,AY,1,100,0.145
1738263929.081325,177013.000,25640,3,AY,1,100,0.154
1738263929.121327,177053.000,25656,2,AY,1,100,0.152
1738263929.161328,177093.000,25656,2,AY,1,100,0.153
1738263929.201330,177133.000,25674,3,AY,1,100,0.161
1738263929.241331,177173.000,25674,3,AY,1,100,0.157
1738263929.281333,177213.000,25674,3,AY,1,100,0.145
1738263929.321335,177253.000,25693,3,AY,1,100,0.151
1738263929.361336,177293.000,25693,3,AY,1,100,0.153
1738263929.401338,177333.000,25693,3,AY,1,100,0.142
1738263929.441339,177373.000,25709,3,AY,1,100,0.137
1738263929.481341,177413.000,25709,3,AY,1,100,0.151
1738263929.521343,177453.000,25709,3,AY,1,100,0.151
1738263929.561344,177493.000,25726,2,AY,1,100,0.143
1738263929.601346,177533.000,25726,2,AY,1,100,0.154
1738263929.641347,177573.000,25743,3,AY,1,100,0.154
1738263929.681349,177613.000,25743,3,AY,1,100,0.153
1738263929.721350,177653.000,25743,3,AY,1,100,0.156
1738263929.761352,177693.000,25759,2,AY,1,100,0.157
1738263929.801354,177733.000,25759,2,AY,1,100,0.152
1738263929.841355,177773.000,25776,3,AY,1,100,0.154
1738263929.881357,177813.000,25776,3,AY,1,100,0.157
1738263929.921359,177853.000,25776,3,AY,1,100,0.157
1738263929.961360,177893.000,25792,2,AY,1,100,0.155
1738263930.001362,177933.000,25792,2,AY,1,100,0.163
1738263930.041363,177973.000,25809,3,AY,1,100,0.160
1738263930.081365,178013.000,25809,3,AY,1,100,0.157
1738263930.121367,178053.000,25809,3,AY,1,100,0.163
1738263930.161368,178093.000,25826,3,AY,1,100,0.163
1738263930.201370,178133.000,25826,3,AY,1,100,0.174
1738263930.241371,178173.000,25826,3,AY,1,100,0.164
1738263930.281373,178213.000,25843,2,AY,1,100,0.163
1738263930.321374,178253.000,25843,2,AY,1,100,0.166
1738263930.361376,178293.000,25858,3,AY,1,100,0.164
1738263930.401378,178333.000,25858,3,AY,1,100,0.167
1738263930.441379,178373.000,25858,3,AY,1,100,0.163
1738263930.481381,178413.000,25876,2,AY,1,100,0.167
1738263930.521383,178453.000,25876,2,AY,1,100,0.162
1738263930.561384,178493.000,25892,3,AY,1,100,0.163
1738263930.601386,178533.000,25892,3,AY,1,100,0.160
1738263930.641387,178573.000,25892,3,AY,1,100,0.168
1738263930.681389,178613.000,25909,2,AY,1,100,0.163
1738263930.721390,178653.000,25909,2,AY,1,100,0.173
1738263930.761392,178693.000,25924,3,AY,1,100,0.163
1738263930.801394,178733.000,25924,3,AY,1,100,0.174
1738263930.841395,178773.000,25924,3,AY,1,100,0.168
1738263930.881397,178813.000,25942,2,AY,1,100,0.167
1738263930.921398,178853.000,25942,2,AY,1,100,0.169
1738263930.961400,178893.000,25958,3,AY,1,100,0.167
1738263931.001402,178933.000,25958,3,AY,1,100,0.172
1738263931.041403,178973.000,25958,3,AY,1,100,0.163
1738263931.081405,179013.000,25975,2,AY,1,100,0.172
1738263931.121406,179053.000,25975,2,AY,1,100,0.171
1738263931.165741,179097.333,25991,3,AY,1,100,0.164
1738263931.210077,179141.667,25991,3,AY,1,100,0.163
1738263931.254412,179186.000,25991,3,AY,1,100,0.167
1738263931.294413,179226.000,26008,2,AY,1,100,0.177
1738263931.334415,179266.000,26008,2,AY,1,100,0.181
1738263931.374417,179306.000,26024,3,AY,1,100,0.180
1738263931.414418,179346.000,26024,3,AY,1,100,0.173
1738263931.454420,179386.000,26024,3,AY,1,100,0.181
1738263931.494421,179426.000,26042,2,AY,1,100,0.186
1738263931.534423,179466.000,26042,2,AY,1,100,0.181
1738263931.574425,179506.000,26057,3,AY,1,100,0.180
1738263931.614426,179546.000,26057,3,AY,1,100,0.175
1738263931.654428,179586.000,26057,3,AY,1,100,0.189
1738263931.694429,179626.000,26074,2,AY,1,100,0.178
1738263931.734431,179666.000,26074,2,AY,1,100,0.163
1738263931.774432,179706.000,26090,3,AY,1,100,0.188
1738263931.814434,179746.000,26090,3,AY,1,100,0.195
1738263931.854436,179786.000,26090,3,AY,1,100,0.167
1738263931.894437,179826.000,26108,2,AY,1,100,0.192
1738263931.934439,179866.000,26108,2,AY,1,100,0.169
1738263931.974441,179906.000,26123,3,AY,1,100,0.170
1738263932.014442,179946.000,26123,3,AY,1,100,0.178
1738263932.054444,179986.000,26123,3,AY,1,100,0.195
1738263932.094445,180026.000,26140,2,AY,1,100,0.183
1738263932.134447,180066.000,26140,2,AY,1,100,0.174
1738263932.174448,180106.000,26157,3,AY,1,100,0.177
1738263932.214450,180146.000,26157,3,AY,1,100,0.171
1738263932.254452,180186.000,26157,3,AY,1,100,0.079
1738263932.294453,180226.000,26176,2,AY,1,100,0.263
1738263932.334455,180266.000,26176,2,AY,1,100,0.181
1738263932.374456,180306.000,26192,3,AY,1,100,0.181
1738263932.414458,180346.000,26192,3,AY,1,100,0.179
1738263932.454460,180386.000,26192,3,AY,1,100,0.194
1738263932.494461,180426.000,26211,2,AY,1,100,0.197
1738263932.534463,180466.000,26211,2,AY,1,100,0.229
1738263932.574464,180506.000,26227,3,AY,1,100,0.185
1738263932.614466,180546.000,26227,3,AY,1,100,0.208
1738263932.654468,180586.000,26227,3,AY,1,100,0.212
1738263932.694469,180626.000,26244,3,AY,1,100,0.201
1738263932.734471,180666.000,26244,3,AY,1,100,0.211
1738263932.774472,180706.000,26244,3,AY,1,100,0.200
1738263932.814474,180746.000,26260,2,AY,1,100,0.213
1738263932.854475,180786.000,26260,2,AY,1,100,0.198
1738263932.894477,180826.000,26277,3,AY,1,100,0.210
1738263932.934479,180866.000,26277,3,AY,1,100,0.217
1738263932.974480,180906.000,26277,3,AY,1,100,0.193
1738263933.014482,180946.000,26293,2,AY,1,100,0.213
1738263933.054484,180986.000,26293,2,AY,1,100,0.196
1738263933.094485,181026.000,26310,3,AY,1,100,0.210
1738263933.134487,181066.000,26310,3,AY,1,100,0.201
1738263933.174488,181106.000,26310,3,AY,1,100,0.197
1738263933.214490,181146.000,26327,2,AY,1,100,0.215
1738263933.254492,181186.000,26327,2,AY,1,100,0.220
1738263933.294493,181226.000,26343,3,AY,1,100,0.212
1738263933.334495,181266.000,26343,3,AY,1,100,0.208
1738263933.374496,181306.000,26343,3,AY,1,100,0.216
1738263933.414498,181346.000,26361,2,AY,1,100,0.214
1738263933.454499,181386.000,26361,2,AY,1,100,0.211
1738263933.494501,181426.000,26379,3,AY,1,100,0.218
1738263933.534503,181466.000,26379,3,AY,1,100,0.212
1738263933.574504,181506.000,26379,3,AY,1,100,0.212
1738263933.614506,181546.000,26395,2,AY,1,100,0.214
1738263933.654508,181586.000,26395,2,AY,1,100,0.209
1738263933.694509,181626.000,26411,3,AY,1,100,0.211
1738263933.734511,181666.000,26411,3,AY,1,100,0.217
1738263933.774512,181706.000,26411,3,AY,1,100,0.219
1738263933.814514,181746.000,26428,2,AY,1,100,0.217
1738263933.854516,181786.000,26428,2,AY,1,100,0.216
1738263933.894517,181826.000,26445,3,AY,1,100,0.219
1738263933.934519,181866.000,26445,3,AY,1,100,0.216
1738263933.974520,181906.000,26445,3,AY,1,100,0.214
1738263934.021022,181952.500,26461,2,AY,1,100,0.218
1738263934.067524,181999.000,26461,2,AY,1,100,0.214
1738263934.107526,182039.000,26477,3,AY,1,100,0.217
