LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1738263924.321713,188941.000,27631,4,EM,1,100,RS
1738263924.321713,188941.000,27631,4,EM,1,100,RB
1738263924.321713,188941.000,27631,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263924.321713,188941.000,27631,4,EM,1,100,PS
1738263924.371715,188991.000,27667,4,EM,1,100,RS
1738263924.421717,189041.000,27667,4,EM,1,100,RB
1738263924.471719,189091.000,27667,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263924.521721,189141.000,27667,4,EM,1,100,PS
1738263924.571973,189191.250,27701,4,EM,1,100,RS
1738263924.622225,189241.500,27701,4,EM,1,100,RB
1738263924.672477,189291.750,27701,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263924.722729,189342.000,27701,4,EM,1,100,PS
1738263924.772981,189392.250,27733,4,EM,1,100,RS
1738263924.823233,189442.500,27733,4,EM,1,100,RB
1738263924.873485,189492.750,27733,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263924.923737,189543.000,27733,4,EM,1,100,PS
1738263924.973989,189593.250,27767,4,EM,1,100,RS
1738263925.024241,189643.500,27767,4,EM,1,100,RB
1738263925.074493,189693.750,27767,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263925.124745,189744.000,27767,4,EM,1,100,PS
1738263925.174997,189794.250,27799,4,EM,1,100,RS
1738263925.225249,189844.500,27799,4,EM,1,100,RB
1738263925.275501,189894.750,27799,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263925.325753,189945.000,27799,4,EM,1,100,PS
1738263925.376005,189995.250,27835,4,EM,1,100,RS
1738263925.426257,190045.500,27835,4,EM,1,100,RB
1738263925.476509,190095.750,27835,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263925.526761,190146.000,27835,4,EM,1,100,PS
1738263925.577763,190197.000,27868,4,EM,1,100,RS
1738263925.628765,190248.000,27868,4,EM,1,100,RB
1738263925.679767,190299.000,27868,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263925.730769,190350.000,27868,4,EM,1,100,PS
1738263925.781021,190400.250,27903,4,EM,1,100,RS
1738263925.831273,190450.500,27903,4,EM,1,100,RB
1738263925.881525,190500.750,27903,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263925.931777,190551.000,27903,4,EM,1,100,PS
1738263925.982279,190601.500,27936,4,EM,1,100,RS
1738263926.032781,190652.000,27936,4,EM,1,100,RB
1738263926.083283,190702.500,27936,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263926.133785,190753.000,27936,4,EM,1,100,PS
1738263926.184036,190803.250,27969,4,EM,1,100,RS
1738263926.234288,190853.500,27969,4,EM,1,100,RB
1738263926.284540,190903.750,27969,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263926.334792,190954.000,27969,4,EM,1,100,PS
1738263926.385045,191004.250,28002,4,EM,1,100,RS
1738263926.435297,191054.500,28002,4,EM,1,100,RB
1738263926.485548,191104.750,28002,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263926.535800,191155.000,28002,4,EM,1,100,PS
1738263926.586052,191205.250,28036,4,EM,1,100,RS
1738263926.636304,191255.500,28036,4,EM,1,100,RB
1738263926.686556,191305.750,28036,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263926.736808,191356.000,28036,4,EM,1,100,PS
1738263926.787060,191406.250,28070,4,EM,1,100,RS
1738263926.837312,191456.500,28070,4,EM,1,100,RB
1738263926.887564,191506.750,28070,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263926.937816,191557.000,28070,4,EM,1,100,PS
1738263926.988068,191607.250,28104,4,EM,1,100,RS
1738263927.038320,191657.500,28104,4,EM,1,100,RB
1738263927.088572,191707.750,28104,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263927.138824,191758.000,28104,4,EM,1,100,PS
1738263927.189076,191808.250,28136,4,EM,1,100,RS
1738263927.239328,191858.500,28136,4,EM,1,100,RB
1738263927.289580,191908.750,28136,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263927.339832,191959.000,28136,4,EM,1,100,PS
1738263927.390084,192009.250,28170,4,EM,1,100,RS
1738263927.440336,192059.500,28170,4,EM,1,100,RB
1738263927.490588,192109.750,28170,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263927.540840,192160.000,28170,4,EM,1,100,PS
