RD,TS_received,TS_sent,AK,RoundTrip,
188971,194093,2025-01-30_12-05-24-454536,194098,5122,
194101,194126,2025-01-30_12-05-29-497759,194127,25,
199206,199231,2025-01-30_12-05-34-600042,199232,25,
204345,209476,2025-01-30_12-05-39-786037,209477,5131,
209483,214616,2025-01-30_12-05-44-962389,214617,5133,
214620,214642,2025-01-30_12-05-50-009023,214644,22,
219727,219769,2025-01-30_12-05-55-143187,219770,42,
224835,224859,2025-01-30_12-06-00-233170,224860,24,
229950,235081,2025-01-30_12-06-05-361088,235082,5131,
235086,235111,2025-01-30_12-06-10-484295,235112,25,
240218,240242,2025-01-30_12-06-15-617055,240244,24,
245345,245360,2025-01-30_12-06-20-735834,245361,15,
250480,250494,2025-01-30_12-06-25-870303,250496,14,
255606,255619,2025-01-30_12-06-30-995835,255620,13,
260733,260751,2025-01-30_12-06-36-125334,260752,18,
265882,265898,2025-01-30_12-06-41-273899,265899,16,
271003,276136,2025-01-30_12-06-46-480061,276137,5133,
276144,276159,2025-01-30_12-06-51-535805,276161,15,
281269,281289,2025-01-30_12-06-56-662910,281291,20,
286402,286422,2025-01-30_12-07-01-798035,286424,20,
291532,291596,2025-01-30_12-07-06-953584,291598,64,
296655,296672,2025-01-30_12-07-12-047984,296674,17,
301796,301841,2025-01-30_12-07-17-219124,301842,45,
306925,306945,2025-01-30_12-07-22-318242,306947,20,
312047,317174,2025-01-30_12-07-27-571461,317180,5127,
317183,317199,2025-01-30_12-07-32-577820,317200,16,
322305,322318,2025-01-30_12-07-37-697855,322320,13,
327422,327437,2025-01-30_12-07-42-816086,327438,15,
332541,332577,2025-01-30_12-07-47-944020,332578,36,
337664,337683,2025-01-30_12-07-53-061049,337684,19,
342777,342802,2025-01-30_12-07-58-178195,342803,25,
347909,347935,2025-01-30_12-08-03-311532,347937,26,
353037,353068,2025-01-30_12-08-08-443693,353069,31,
358149,358175,2025-01-30_12-08-13-552827,358176,26,
363271,363294,2025-01-30_12-08-18-669089,363295,23,
368392,368407,2025-01-30_12-08-23-787988,368408,15,
373521,373573,2025-01-30_12-08-28-947502,373574,52,
378646,378660,2025-01-30_12-08-34-041276,378665,14,
383765,383804,2025-01-30_12-08-39-183320,383805,39,
388885,388913,2025-01-30_12-08-44-293542,388918,28,
394004,394105,2025-01-30_12-08-49-469821,399122,101,
399125,399143,2025-01-30_12-08-54-521330,399145,18,
404259,404277,2025-01-30_12-08-59-659219,404278,18,
409388,409438,2025-01-30_12-09-04-783112,409439,50,
414505,414530,2025-01-30_12-09-09-905837,414531,25,
419637,419667,2025-01-30_12-09-15-043537,419668,30,
424744,424761,2025-01-30_12-09-20-141263,424762,17,
429887,429906,2025-01-30_12-09-25-285047,429907,19,
434995,435073,2025-01-30_12-09-30-438113,435074,78,
440105,440125,2025-01-30_12-09-35-505543,440127,20,
445213,445233,2025-01-30_12-09-40-609889,445234,20,
450321,450344,2025-01-30_12-09-45-727785,450345,23,
455432,460551,2025-01-30_12-09-50-864255,460552,5119,
460557,460583,2025-01-30_12-09-55-967923,460584,26,
465662,465676,2025-01-30_12-10-01-061317,465677,14,
470771,470847,2025-01-30_12-10-06-209261,470848,76,
475879,475904,2025-01-30_12-10-11-285754,475909,25,
480991,481073,2025-01-30_12-10-16-458233,481074,82,
486101,486116,2025-01-30_12-10-21-501074,486117,15,
491208,491221,2025-01-30_12-10-26-606603,491222,13,
496340,496355,2025-01-30_12-10-31-740473,496356,15,
501449,501467,2025-01-30_12-10-36-850463,501468,18,
506555,506627,2025-01-30_12-10-42-009150,506628,72,
511667,511712,2025-01-30_12-10-47-066731,511713,45,
516774,516791,2025-01-30_12-10-52-176730,516792,17,
521883,521927,2025-01-30_12-10-57-306633,521931,44,
526990,527067,2025-01-30_12-11-02-453923,527068,77,
532097,532130,2025-01-30_12-11-07-501327,532132,33,
537212,537239,2025-01-30_12-11-12-614751,537240,27,
542318,542335,2025-01-30_12-11-17-721331,542343,17,
547427,547449,2025-01-30_12-11-22-829336,547451,22,
552535,552556,2025-01-30_12-11-27-940694,552557,21,
557669,557741,2025-01-30_12-11-33-114753,557742,72,
562781,562809,2025-01-30_12-11-38-184884,562812,28,
567889,567907,2025-01-30_12-11-43-294790,567908,18,
573020,573088,2025-01-30_12-11-48-472920,573091,68,
578129,578144,2025-01-30_12-11-53-532408,578145,15,
583235,583251,2025-01-30_12-11-58-638462,583252,16,
588371,588386,2025-01-30_12-12-03-774328,588387,15,
593479,593565,2025-01-30_12-12-08-923875,593566,86,
598592,598623,2025-01-30_12-12-14-011159,598624,31,
603699,603741,2025-01-30_12-12-19-117126,603743,42,
608807,608829,2025-01-30_12-12-24-216041,608830,22,
613950,619055,2025-01-30_12-12-29-466393,619057,5105,
619060,624182,2025-01-30_12-12-34-549813,624184,5122,
624192,624215,2025-01-30_12-12-39-602415,624216,23,
629296,629316,2025-01-30_12-12-44-706557,629321,20,
634415,639535,2025-01-30_12-12-49-986389,639538,5120,
639541,639613,2025-01-30_12-12-54-969318,639614,72,
644660,644680,2025-01-30_12-13-00-069481,644681,20,
649778,654892,2025-01-30_12-13-05-285801,654893,5114,
654896,654918,2025-01-30_12-13-10-306563,654919,22,
660025,660051,2025-01-30_12-13-15-442641,660052,26,
665150,670265,2025-01-30_12-13-20-654692,670267,5115,
670270,670307,2025-01-30_12-13-25-695949,670308,37,
675387,675403,2025-01-30_12-13-30-795921,675404,16,
680503,680599,2025-01-30_12-13-35-936120,680601,96,
685617,685663,2025-01-30_12-13-41-041092,685666,46,
690744,690761,2025-01-30_12-13-46-153892,690762,17,
695852,695894,2025-01-30_12-13-51-282870,695896,42,
700971,701074,2025-01-30_12-13-56-456402,706089,103,
706092,706180,2025-01-30_12-14-01-564154,706181,88,
711219,711239,2025-01-30_12-14-06-627318,711240,20,
716344,721453,2025-01-30_12-14-11-944610,721458,5109,
721462,726585,2025-01-30_12-14-16-913223,726586,5123,
726593,726611,2025-01-30_12-14-22-006530,726612,18,
731710,731728,2025-01-30_12-14-27-120863,731729,18,
736831,736873,2025-01-30_12-14-32-267400,736875,42,
741968,742051,2025-01-30_12-14-37-410356,742055,83,
747089,747145,2025-01-30_12-14-42-516992,747149,56,
752207,752250,2025-01-30_12-14-47-640153,752255,43,
757335,757353,2025-01-30_12-14-52-749095,757355,18,
762459,767601,2025-01-30_12-14-57-958656,767602,5142,
767607,767622,2025-01-30_12-15-03-016989,767627,15,
772721,772781,2025-01-30_12-15-08-174889,772787,60,
777840,777858,2025-01-30_12-15-13-254334,777860,18,
782961,783053,2025-01-30_12-15-18-442801,783054,92,
788106,788146,2025-01-30_12-15-23-542880,788148,40,
793242,793256,2025-01-30_12-15-28-652640,793257,14,
798371,798388,2025-01-30_12-15-33-784946,798389,17,
803506,803530,2025-01-30_12-15-38-919369,803531,24,
808644,808657,2025-01-30_12-15-44-055708,808658,13,
813782,813799,2025-01-30_12-15-49-196321,813800,17,
818904,824041,2025-01-30_12-15-54-320285,824043,5137,
824052,824067,2025-01-30_12-15-59-465752,824068,15,
829155,829174,2025-01-30_12-16-04-568852,829175,19,
834281,834302,2025-01-30_12-16-09-701103,834305,21,
839389,839406,2025-01-30_12-16-14-804703,839408,17,
844500,844584,2025-01-30_12-16-19-982867,844585,84,
849608,849646,2025-01-30_12-16-25-043408,849650,38,
854717,854738,2025-01-30_12-16-30-134064,854739,21,
859824,859844,2025-01-30_12-16-35-239885,859846,20,
864932,865031,2025-01-30_12-16-40-412025,865032,99,
870048,870064,2025-01-30_12-16-45-462871,870065,16,
875155,875172,2025-01-30_12-16-50-572222,875176,17,
880263,880282,2025-01-30_12-16-55-676027,880283,19,
885402,890522,2025-01-30_12-17-00-821817,890523,5120,
890528,890628,2025-01-30_12-17-06-012364,890629,100,
895650,895668,2025-01-30_12-17-11-068735,895669,18,
900761,900780,2025-01-30_12-17-16-179674,900781,19,
905869,905888,2025-01-30_12-17-21-284535,905894,19,
910978,911039,2025-01-30_12-17-26-427706,911040,61,
916085,916185,2025-01-30_12-17-31-561458,916186,100,
921211,921229,2025-01-30_12-17-36-628318,921230,18,
926319,926336,2025-01-30_12-17-41-738544,926338,17,
931457,931504,2025-01-30_12-17-46-894443,931505,47,
936563,936623,2025-01-30_12-17-52-010512,936625,60,
941671,941716,2025-01-30_12-17-57-116115,941717,45,
946782,946804,2025-01-30_12-18-02-207665,946809,22,
951919,957040,2025-01-30_12-18-07-476837,957041,5121,
957046,957064,2025-01-30_12-18-12-467736,957065,18,
962150,962175,2025-01-30_12-18-17-578561,962176,25,
967261,967276,2025-01-30_12-18-22-679894,967277,15,
972394,972411,2025-01-30_12-18-27-812148,972412,17,
977503,982623,2025-01-30_12-18-33-013078,982624,5120,
982627,982661,2025-01-30_12-18-38-065634,982662,34,
987732,987752,2025-01-30_12-18-43-153956,987753,20,
992875,992891,2025-01-30_12-18-48-296992,992893,16,
997984,998063,2025-01-30_12-18-53-449773,998064,79,
1003092,1003109,2025-01-30_12-18-58-511909,1003110,17,
1008204,1013336,2025-01-30_12-19-03-717706,1013337,5132,
1013340,1018468,2025-01-30_12-19-09-000997,1018470,5128,
1018473,1023605,2025-01-30_12-19-14-073486,1023607,5132,
1023610,1023629,2025-01-30_12-19-19-031184,1023630,19,
1028736,1028779,2025-01-30_12-19-24-182564,1028780,43,
1033867,1033902,2025-01-30_12-19-29-309229,1033907,35,
1038988,1044113,2025-01-30_12-19-34-532191,1044114,5125,
1044121,1044147,2025-01-30_12-19-39-544048,1044148,26,
1049242,1049261,2025-01-30_12-19-44-668000,1049265,19,
1054362,1054438,2025-01-30_12-19-49-802236,1054440,76,
1059495,1059523,2025-01-30_12-19-54-930690,1059525,28,
1064631,1064649,2025-01-30_12-20-00-054380,1064651,18,
1069749,1069787,2025-01-30_12-20-05-192000,1069789,38,
1074884,1074903,2025-01-30_12-20-10-307004,1074904,19,
1080030,1080055,2025-01-30_12-20-15-457362,1080056,25,
1085157,1085182,2025-01-30_12-20-20-585725,1085183,25,
1090269,1090283,2025-01-30_12-20-25-692445,1090289,14,
1095407,1100542,2025-01-30_12-20-30-911210,1100543,5135,
1100547,1100627,2025-01-30_12-20-36-023528,1100628,80,
1105667,1105693,2025-01-30_12-20-41-102148,1105694,26,
1110793,1110837,2025-01-30_12-20-46-225105,1110838,44,
1115930,1121067,2025-01-30_12-20-51-427894,1121071,5137,
1121075,1121125,2025-01-30_12-20-56-498510,1121126,50,
1126187,1126237,2025-01-30_12-21-01-642103,1126238,50,
1131316,1131328,2025-01-30_12-21-06-738978,1131329,12,
1136423,1141531,2025-01-30_12-21-11-869012,1141532,5108,
1141540,1141582,2025-01-30_12-21-16-986508,1141584,42,
1146663,1146684,2025-01-30_12-21-22-094136,1146686,21,
1151797,1151819,2025-01-30_12-21-27-227978,1151821,22,
1156934,1156996,2025-01-30_12-21-32-379715,1157001,62,
1162068,1162095,2025-01-30_12-21-37-502057,1162096,27,
1167188,1167218,2025-01-30_12-21-42-626960,1167219,30,
1172308,1172326,2025-01-30_12-21-47-738586,1172328,18,
1177430,1182558,2025-01-30_12-21-52-960798,1182559,5128,
1182562,1182599,2025-01-30_12-21-58-007806,1182600,37,
1187683,1187709,2025-01-30_12-22-03-119898,1187711,26,
