LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738271569.118181,538546,14187,1,BI,1,100,790
1738271570.714229,540142,14439,1,BI,1,100,1580
1738271573.448311,542876,14863,1,BI,1,100,2710
1738271575.794382,545222,15229,1,BI,1,100,2320
1738271576.560405,545988,15341,1,BI,1,100,760
1738271581.083542,550511,16032,1,BI,1,100,4490
1738271581.676559,551104,16128,1,BI,1,100,590
1738271583.406612,552834,16396,1,BI,1,100,1710
1738271586.162695,555590,16826,1,BI,1,100,2730
1738271586.333700,555761,16859,1,BI,1,100,170
1738271587.039721,556467,16970,1,BI,1,100,700
1738271587.916748,557344,17097,1,BI,1,100,870
1738271588.812775,558240,17239,1,BI,1,100,890
1738271591.559858,560987,17669,1,BI,1,100,2720
1738271592.402883,561830,17795,1,BI,1,100,830
1738271595.615980,565043,18283,1,BI,1,100,3190
1738271597.893049,567320,18630,1,BI,1,100,2250
1738271599.962111,569389,18948,1,BI,1,100,2050
1738271601.325152,570752,19170,1,BI,1,100,1350
1738271618.157660,587584,21765,1,BI,1,100,16670
1738271626.163901,595590,22995,1,BI,1,100,7930
1738271627.463940,596890,23200,1,BI,1,100,1290
1738271629.630006,599056,23528,1,BI,1,100,2150
1738271630.663037,600089,23675,1,BI,1,100,1020
1738271634.277146,603703,24239,1,BI,1,100,3580
1738271635.613186,605039,24447,1,BI,1,100,1320
1738271639.666309,609092,25074,1,BI,1,100,4020
1738271642.556396,611982,25503,1,BI,1,100,2860
1738271642.949408,612375,25567,1,BI,1,100,390
1738271643.922437,613348,25724,1,BI,1,100,960
1738271645.165474,614591,25914,1,BI,1,100,1230
1738271658.417874,627843,27962,1,BI,1,100,13130
1738271659.624911,629050,28151,1,BI,1,100,1190
1738271661.744975,631170,28471,1,BI,1,100,2100
1738271662.865008,632290,28644,1,BI,1,100,1110
1738271664.164047,633589,28849,1,BI,1,100,1290
1738271664.874069,634299,28959,1,BI,1,100,700
1738271666.394115,635819,29204,1,BI,1,100,1520
1738271668.401175,637826,29518,1,BI,1,100,1990
1738271669.111197,638536,29628,1,BI,1,100,700
1738271670.337234,639762,29817,1,BI,1,100,1210
1738271671.224260,640649,29966,1,BI,1,100,880
1738271679.583513,649008,31252,1,BI,1,100,8290
1738271682.456599,651881,31698,1,BI,1,100,2850
1738271683.529632,652954,31855,1,BI,1,100,1060
1738271685.472690,654897,32153,1,BI,1,100,1920
1738271687.086739,656511,32409,1,BI,1,100,1600
1738271690.052828,659477,32861,1,BI,1,100,2940
1738271704.085252,673509,35020,1,BI,1,100,13900
1738271706.258317,675682,35350,1,BI,1,100,2150
1738271709.194406,678618,35794,1,BI,1,100,2910
1738271710.177435,679601,35951,1,BI,1,100,970
1738271712.314500,681738,36290,1,BI,1,100,2120
1738271715.447594,684871,36759,1,BI,1,100,3100
1738271716.577628,686001,36934,1,BI,1,100,1120
1738271718.754694,688178,37268,1,BI,1,100,2160
1738271720.876758,690300,37599,1,BI,1,100,2100
1738271722.980822,692404,37932,1,BI,1,100,2080
1738271723.180828,692604,37965,1,BI,1,100,200
1738271724.673873,694097,38185,1,BI,1,100,1480
1738271725.619901,695043,38342,1,BI,1,100,940
