Timestamp,BI
1738271569.36939,653
1738271569.69598,600
1738271570.49922,653
1738271571.04657,547
1738271572.01547,645
1738271572.36661,645
1738271573.0119,889
1738271574.204,889
1738271575.09258,889
1738271576.11639,889
1738271576.71908,748
1738271577.16379,603
1738271577.91178,603
1738271578.24326,517
1738271579.24329,517
1738271579.7605,517
1738271580.27188,536
1738271580.80808,536
1738271581.353,545
1738271582.40494,545
1738271583.39428,581
1738271583.80542,961
1738271584.38664,961
1738271585.348,686
1738271586.34059,686
1738271587.02672,744
1738271587.35362,686
1738271588.09812,673
1738271588.51577,418
1738271589.18897,673
1738271589.59369,673
1738271590.59523,673
1738271591.77196,571
1738271592.21288,918
1738271592.78349,571
1738271593.70159,571
1738271594.04866,571
1738271594.66035,612
1738271595.13776,612
1738271596.28545,612
1738271597.12182,539
1738271597.46024,590
1738271597.99905,539
1738271598.58874,539
1738271598.99281,539
1738271599.60343,590
1738271599.95091,611
1738271600.58283,632
1738271601.61983,632
1738271602.43358,632
1738271602.95775,524
1738271603.34041,518
1738271603.79583,518
1738271604.31344,455
1738271605.30247,518
1738271605.6361,586
1738271606.28476,649
1738271606.87092,586
1738271607.62752,586
1738271608.13716,510
1738271608.63277,510
1738271609.03598,510
1738271609.59949,564
1738271610.46176,564
1738271611.62206,765
1738271611.93427,765
1738271612.6997,699
1738271613.0526,699
1738271613.75153,765
1738271614.84183,1090
1738271615.96732,1125
1738271617.16517,1125
1738271618.54601,1125
1738271619.47637,930
1738271619.81071,795
1738271620.21428,795
1738271621.00955,404
1738271622.25318,666
1738271622.58939,666
1738271623.25561,666
1738271623.71873,666
1738271624.44549,727
1738271625.69622,998
1738271626.76883,1062
1738271627.76668,1073
1738271628.82835,1062
1738271629.9192,998
1738271630.6217,1062
1738271631.10805,1091
1738271632.29009,703
1738271633.46179,795
1738271633.91614,1172
1738271634.71071,1161
1738271635.89286,1075
1738271637.05423,1075
1738271638.12926,1075
1738271639.10151,972
1738271639.48821,937
1738271640.20496,918
1738271641.14235,918
1738271642.06008,937
1738271643.14996,1090
1738271644.40385,1175
1738271645.64303,1175
1738271646.81771,1175
1738271647.45744,640
1738271648.03689,598
1738271648.63449,598
1738271649.11559,579
1738271649.89682,598
1738271650.25081,781
1738271651.38344,781
1738271652.56533,668
1738271652.87241,668
1738271653.54083,548
1738271654.02352,548
1738271654.57142,594
1738271655.51151,548
1738271656.10517,594
1738271656.48382,940
1738271657.52785,1044
1738271658.95489,1044
1738271660.13693,1044
1738271660.45614,468
1738271660.81113,468
1738271661.27896,468
1738271661.93409,496
1738271662.43,655
1738271663.53666,1023
1738271664.55942,1107
1738271665.67276,1107
1738271666.78246,1023
1738271667.37294,1013
1738271667.76449,590
1738271668.77789,540
1738271669.2448,467
1738271669.78449,540
1738271670.11156,540
1738271670.87145,760
1738271671.83973,968
1738271673.20841,1206
1738271674.46036,1206
1738271675.66599,1206
1738271676.61112,945
1738271677.23344,622
1738271677.80406,571
1738271678.34288,571
1738271678.90699,564
1738271679.89419,564
1738271680.27353,567
1738271681.12547,567
1738271681.69269,546
1738271682.23905,546
1738271682.68527,546
1738271683.00262,546
1738271683.62718,567
1738271684.19443,567
1738271684.77212,578
1738271685.25968,578
1738271686.29412,1034
1738271687.40915,1034
1738271688.50667,1034
