LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738271568.673167,538101.000,14119,1,TL,1,100,2025-01-30_14-12-43-604181
1738271568.696168,538124.000,14122,1,TL,1,100,2025-01-30_14-12-48-687412
1738271573.781321,543209.000,14911,1,TL,1,100,2025-01-30_14-12-48-770732
1738271573.804322,543232.000,14914,1,TL,1,100,2025-01-30_14-12-53-793729
1738271578.889475,548317.000,15700,1,TL,1,100,2025-01-30_14-12-53-965796
1738271584.021630,553449.000,16489,1,TL,1,100,2025-01-30_14-12-58-916716
1738271584.029630,553457.000,16491,1,TL,1,100,2025-01-30_14-12-59-044982
1738271584.057631,553485.000,16494,1,TL,1,100,2025-01-30_14-13-04-047557
1738271589.129784,558557.000,17288,1,TL,1,100,2025-01-30_14-13-04-129974
1738271589.152785,558580.000,17291,1,TL,1,100,2025-01-30_14-13-09-144015
1738271594.240938,563668.000,18077,1,TL,1,100,2025-01-30_14-13-09-191589
1738271599.356093,568783.000,18864,1,TL,1,100,2025-01-30_14-13-14-254433
1738271599.362093,568789.000,18866,1,TL,1,100,2025-01-30_14-13-14-464721
1738271604.501248,573928.000,19655,1,TL,1,100,2025-01-30_14-13-19-498307
1738271604.507248,573934.000,19657,1,TL,1,100,2025-01-30_14-13-19-505737
1738271604.523248,573950.000,19660,1,TL,1,100,2025-01-30_14-13-24-512658
1738271609.609402,579036.000,20443,1,TL,1,100,2025-01-30_14-13-24-641798
1738271609.639403,579066.000,20446,1,TL,1,100,2025-01-30_14-13-29-627895
1738271614.719556,584146.000,21228,1,TL,1,100,2025-01-30_14-13-29-670820
1738271614.747557,584174.000,21231,1,TL,1,100,2025-01-30_14-13-34-734951
1738271619.827710,589254.000,22016,1,TL,1,100,2025-01-30_14-13-34-855335
1738271624.945864,594372.000,22799,1,TL,1,100,2025-01-30_14-13-39-994218
1738271624.949865,594376.000,22801,1,TL,1,100,2025-01-30_14-13-39-996249
1738271625.012866,594439.000,22804,1,TL,1,100,2025-01-30_14-13-45-001327
1738271630.054018,599480.000,23592,1,TL,1,100,2025-01-30_14-13-45-046814
1738271635.180173,604606.000,24381,1,TL,1,100,2025-01-30_14-13-50-253941
1738271640.312328,609738.000,25168,1,TL,1,100,2025-01-30_14-13-55-194139
1738271640.318328,609744.000,25170,1,TL,1,100,2025-01-30_14-13-55-474704
1738271645.452483,614878.000,25962,1,TL,1,100,2025-01-30_14-14-00-330221
1738271645.455483,614881.000,25964,1,TL,1,100,2025-01-30_14-14-00-589459
1738271650.574638,620000.000,26747,1,TL,1,100,2025-01-30_14-14-05-527073
1738271650.576638,620002.000,26749,1,TL,1,100,2025-01-30_14-14-05-627720
1738271650.597638,620023.000,26752,1,TL,1,100,2025-01-30_14-14-10-584558
1738271655.682792,625108.000,27535,1,TL,1,100,2025-01-30_14-14-10-678511
1738271655.697792,625123.000,27538,1,TL,1,100,2025-01-30_14-14-15-689294
1738271660.830947,630256.000,28342,1,TL,1,100,2025-01-30_14-14-15-749218
1738271665.962102,635387.000,29134,1,TL,1,100,2025-01-30_14-14-20-865002
1738271665.964102,635389.000,29136,1,TL,1,100,2025-01-30_14-14-21-130088
1738271666.004103,635429.000,29139,1,TL,1,100,2025-01-30_14-14-25-992985
1738271671.070256,640495.000,29930,1,TL,1,100,2025-01-30_14-14-26-049209
1738271671.108257,640533.000,29933,1,TL,1,100,2025-01-30_14-14-31-088339
1738271676.181410,645606.000,30718,1,TL,1,100,2025-01-30_14-14-31-185274
1738271676.216411,645641.000,30721,1,TL,1,100,2025-01-30_14-14-36-197876
1738271681.288564,650713.000,31505,1,TL,1,100,2025-01-30_14-14-36-245639
1738271681.309565,650734.000,31508,1,TL,1,100,2025-01-30_14-14-41-295565
1738271686.442719,655867.000,32312,1,TL,1,100,2025-01-30_14-14-41-446447
1738271691.583874,661008.000,33099,1,TL,1,100,2025-01-30_14-14-46-456023
1738271691.586875,661011.000,33101,1,TL,1,100,2025-01-30_14-14-46-622135
1738271696.704029,666128.000,33884,1,TL,1,100,2025-01-30_14-14-51-716712
1738271696.706029,666130.000,33886,1,TL,1,100,2025-01-30_14-14-51-732095
1738271696.722029,666146.000,33889,1,TL,1,100,2025-01-30_14-14-56-713164
1738271701.822183,671246.000,34673,1,TL,1,100,2025-01-30_14-14-57-042233
1738271706.946338,676370.000,35460,1,TL,1,100,2025-01-30_14-15-01-890538
1738271706.952338,676376.000,35462,1,TL,1,100,2025-01-30_14-15-02-113475
1738271712.090493,681514.000,36251,1,TL,1,100,2025-01-30_14-15-07-083083
1738271712.092493,681516.000,36253,1,TL,1,100,2025-01-30_14-15-07-148825
1738271712.113494,681537.000,36256,1,TL,1,100,2025-01-30_14-15-12-100844
1738271717.223648,686647.000,37044,1,TL,1,100,2025-01-30_14-15-12-300526
1738271717.246649,686670.000,37047,1,TL,1,100,2025-01-30_14-15-17-234908
1738271722.352803,691776.000,37834,1,TL,1,100,2025-01-30_14-15-17-409034
1738271727.484957,696908.000,38626,1,TL,1,100,2025-01-30_14-15-22-538081
1738271727.488957,696912.000,38628,1,TL,1,100,2025-01-30_14-15-22-552250
1738271732.619112,702042.000,39418,1,TL,1,100,2025-01-30_14-15-27-572124
1738271732.621112,702044.000,39420,1,TL,1,100,2025-01-30_14-15-27-722658
1738271732.671114,702094.000,39423,1,TL,1,100,2025-01-30_14-15-32-661310
1738271737.732266,707155.000,40206,1,TL,1,100,2025-01-30_14-15-32-765424
1738271737.778268,707201.000,40209,1,TL,1,100,2025-01-30_14-15-37-764033
1738271742.855421,712278.000,40998,1,TL,1,100,2025-01-30_14-15-38-035403
