LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1738271571.556401,574690.000,25255,1,B%,1,100,100
1738271576.556590,579690.000,26076,1,B%,1,100,100
1738271581.555778,584689.000,26903,1,B%,1,100,100
1738271586.555966,589689.000,27730,1,B%,1,100,100
1738271591.555154,594688.000,28532,1,B%,1,100,100
1738271596.555342,599688.000,29375,1,B%,1,100,100
1738271601.554531,604687.000,30197,1,B%,1,100,100
1738271606.554719,609687.000,31015,1,B%,1,100,100
1738271611.553907,614686.000,31835,1,B%,1,100,100
1738271616.554095,619686.000,32677,1,B%,1,100,100
1738271621.553283,624685.000,33500,1,B%,1,100,100
1738271626.553472,629685.000,34304,1,B%,1,100,100
1738271631.552660,634684.000,35131,1,B%,1,100,100
1738271636.552848,639684.000,35912,1,B%,1,100,100
1738271641.552036,644683.000,36679,1,B%,1,100,100
1738271646.552224,649683.000,37464,1,B%,1,100,100
1738271651.551413,654682.000,38246,1,B%,1,100,100
1738271656.551601,659682.000,39038,1,B%,1,100,100
1738271661.550789,664681.000,39803,1,B%,1,100,100
1738271666.550977,669681.000,40600,1,B%,1,100,100
1738271671.550165,674680.000,41391,1,B%,1,100,100
1738271676.550354,679680.000,42157,1,B%,1,100,100
1738271681.549542,684679.000,42947,1,B%,1,100,100
1738271686.549730,689679.000,43731,1,B%,1,100,100
1738271691.548918,694678.000,44489,1,B%,1,100,100
1738271696.549107,699678.000,45268,1,B%,1,100,100
1738271701.548295,704677.000,46058,1,B%,1,100,100
1738271706.548483,709677.000,46826,1,B%,1,100,100
1738271711.547671,714676.000,47590,1,B%,1,100,100
1738271716.547859,719676.000,48375,1,B%,1,100,100
1738271721.547048,724675.000,49156,1,B%,1,100,100
1738271726.547236,729675.000,49934,1,B%,1,100,100
1738271731.546424,734674.000,50692,1,B%,1,100,100
1738271736.546612,739674.000,51472,1,B%,1,100,100
1738271741.545800,744673.000,52263,1,B%,1,100,100
1738271746.545989,749673.000,53042,1,B%,1,100,100
1738271751.545177,754672.000,53812,1,B%,1,100,100
1738271756.545365,759672.000,54601,1,B%,1,100,100
1738271761.544553,764671.000,55389,1,B%,1,100,100
1738271766.544741,769671.000,56161,1,B%,1,100,100
1738271771.543930,774670.000,56962,1,B%,1,100,100
1738271776.544118,779670.000,57741,1,B%,1,100,100
1738271781.543306,784669.000,58511,1,B%,1,100,100
1738271786.543494,789669.000,59294,1,B%,1,100,100
1738271791.542682,794668.000,60078,1,B%,1,100,100
1738271796.542871,799668.000,60850,1,B%,1,100,100
1738271801.542059,804667.000,61637,1,B%,1,100,100
1738271806.542247,809667.000,62416,1,B%,1,100,100
1738271811.541435,814666.000,63206,1,B%,1,100,100
1738271816.541624,819666.000,63985,1,B%,1,100,100
1738271821.540812,824665.000,64753,1,B%,1,100,100
1738271826.541000,829665.000,7,1,B%,1,100,100
1738271831.540188,834664.000,788,1,B%,1,100,100
1738271836.540376,839664.000,1570,1,B%,1,100,99
1738271841.539565,844663.000,2360,1,B%,1,100,100
1738271846.539753,849663.000,3146,1,B%,1,100,100
1738271851.538941,854662.000,3928,1,B%,1,100,100
1738271856.539129,859662.000,4706,1,B%,1,100,99
1738271861.538317,864661.000,5501,1,B%,1,100,99
1738271866.538506,869661.000,6302,1,B%,1,100,99
1738271871.537694,874660.000,7095,1,B%,1,100,99
1738271876.537882,879660.000,7886,1,B%,1,100,99
1738271881.537070,884659.000,8678,1,B%,1,100,99
1738271886.537258,889659.000,9472,1,B%,1,100,100
1738271891.536447,894658.000,10255,1,B%,1,100,99
1738271896.536635,899658.000,11065,1,B%,1,100,99
1738271901.535823,904657.000,11837,1,B%,1,100,99
1738271906.536011,909657.000,12619,1,B%,1,100,99
