LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738257276.991033,1780190.000,3203,1,T1,1,100,32.463
1738257277.124038,1780323.000,3220,1,T1,1,100,32.484
1738257277.258043,1780457.000,3235,1,T1,1,100,32.458
1738257277.391048,1780590.000,3266,1,T1,1,100,32.411
1738257277.524053,1780723.000,3282,1,T1,1,100,32.532
1738257277.658058,1780857.000,3297,1,T1,1,100,32.514
1738257277.791063,1780990.000,3328,1,T1,1,100,32.612
1738257277.924068,1781123.000,3344,1,T1,1,100,32.549
1738257278.058073,1781257.000,3360,1,T1,1,100,32.486
1738257278.191077,1781390.000,3376,1,T1,1,100,32.494
1738257278.324082,1781523.000,3406,1,T1,1,100,32.604
1738257278.458087,1781657.000,3422,1,T1,1,100,32.474
1738257278.591092,1781790.000,3438,1,T1,1,100,32.560
1738257278.724097,1781923.000,3471,1,T1,1,100,32.490
1738257278.858102,1782057.000,3486,1,T1,1,100,32.602
1738257278.991107,1782190.000,3502,1,T1,1,100,32.615
1738257279.124112,1782323.000,3533,1,T1,1,100,32.656
1738257279.258117,1782457.000,3548,1,T1,1,100,32.461
1738257279.391122,1782590.000,3565,1,T1,1,100,32.483
1738257279.524127,1782723.000,3595,1,T1,1,100,32.670
1738257279.658132,1782857.000,3616,1,T1,1,100,32.538
1738257279.791137,1782990.000,3632,1,T1,1,100,32.587
1738257279.924141,1783123.000,3647,1,T1,1,100,32.609
1738257280.058146,1783257.000,3678,1,T1,1,100,32.547
1738257280.191151,1783390.000,3694,1,T1,1,100,32.627
1738257280.324156,1783523.000,3709,1,T1,1,100,32.519
1738257280.457161,1783656.000,3740,1,T1,1,100,32.473
1738257280.591166,1783790.000,3756,1,T1,1,100,32.524
1738257280.724171,1783923.000,3772,1,T1,1,100,32.439
1738257280.857176,1784056.000,3802,1,T1,1,100,32.545
1738257280.991181,1784190.000,3818,1,T1,1,100,32.555
1738257281.124186,1784323.000,3834,1,T1,1,100,32.382
1738257281.257190,1784456.000,3864,1,T1,1,100,32.413
1738257281.391195,1784590.000,3881,1,T1,1,100,32.463
1738257281.524200,1784723.000,3896,1,T1,1,100,32.448
1738257281.657205,1784856.000,3912,1,T1,1,100,32.407
1738257281.791210,1784990.000,3943,1,T1,1,100,32.495
1738257281.924215,1785123.000,3958,1,T1,1,100,32.462
1738257282.057220,1785256.000,3975,1,T1,1,100,32.519
1738257282.191225,1785390.000,4005,1,T1,1,100,32.579
1738257282.324230,1785523.000,4020,1,T1,1,100,32.534
1738257282.457235,1785656.000,4037,1,T1,1,100,32.550
1738257282.591239,1785790.000,4067,1,T1,1,100,32.557
1738257282.724244,1785923.000,4083,1,T1,1,100,32.525
1738257282.857249,1786056.000,4099,1,T1,1,100,32.511
1738257282.991254,1786190.000,4130,1,T1,1,100,32.505
1738257283.124259,1786323.000,4145,1,T1,1,100,32.502
1738257283.257264,1786456.000,4161,1,T1,1,100,32.536
1738257283.390269,1786589.000,4192,1,T1,1,100,32.658
1738257283.524274,1786723.000,4207,1,T1,1,100,32.604
1738257283.657279,1786856.000,4223,1,T1,1,100,32.545
1738257283.790284,1786989.000,4239,1,T1,1,100,32.448
1738257283.924289,1787123.000,4271,1,T1,1,100,32.513
1738257284.057294,1787256.000,4288,1,T1,1,100,32.435
1738257284.190298,1787389.000,4303,1,T1,1,100,32.472
1738257284.324303,1787523.000,4334,1,T1,1,100,32.488
1738257284.457308,1787656.000,4350,1,T1,1,100,32.424
1738257284.590313,1787789.000,4365,1,T1,1,100,32.644
1738257284.724318,1787923.000,4396,1,T1,1,100,32.527
1738257284.857323,1788056.000,4415,1,T1,1,100,32.476
1738257284.990328,1788189.000,4430,1,T1,1,100,32.561
1738257285.124333,1788323.000,4447,1,T1,1,100,32.455
1738257285.257338,1788456.000,4477,1,T1,1,100,32.658
1738257285.390343,1788589.000,4493,1,T1,1,100,32.604
1738257285.524348,1788723.000,4509,1,T1,1,100,32.687
1738257285.657352,1788856.000,4524,1,T1,1,100,32.581
1738257285.790357,1788989.000,4555,1,T1,1,100,32.535
1738257285.924362,1789123.000,4571,1,T1,1,100,32.586
1738257286.057367,1789256.000,4587,1,T1,1,100,32.679
1738257286.190372,1789389.000,4617,1,T1,1,100,32.613
1738257286.324377,1789523.000,4633,1,T1,1,100,32.584
1738257286.457382,1789656.000,4649,1,T1,1,100,32.607
1738257286.590387,1789789.000,4679,1,T1,1,100,32.582
1738257286.723392,1789922.000,4696,1,T1,1,100,32.465
1738257286.857397,1790056.000,4711,1,T1,1,100,32.591
1738257286.990402,1790189.000,4727,1,T1,1,100,32.539
1738257287.123406,1790322.000,4758,1,T1,1,100,32.623
1738257287.257411,1790456.000,4773,1,T1,1,100,32.518
1738257287.390416,1790589.000,4789,1,T1,1,100,32.508
1738257287.523421,1790722.000,4820,1,T1,1,100,32.503
1738257287.657426,1790856.000,4835,1,T1,1,100,32.501
1738257287.790431,1790989.000,4852,1,T1,1,100,32.572
1738257287.923436,1791122.000,4882,1,T1,1,100,32.531
1738257288.057441,1791256.000,4898,1,T1,1,100,32.478
1738257288.190446,1791389.000,4914,1,T1,1,100,32.526
1738257288.323451,1791522.000,4945,1,T1,1,100,32.476
1738257288.457456,1791656.000,4960,1,T1,1,100,32.596
1738257288.590461,1791789.000,4978,1,T1,1,100,32.612
1738257288.723465,1791922.000,5011,1,T1,1,100,32.584
1738257288.857470,1792056.000,5026,1,T1,1,100,32.572
1738257288.990475,1792189.000,5042,1,T1,1,100,32.673
1738257289.123480,1792322.000,5058,1,T1,1,100,32.646
1738257289.257485,1792456.000,5088,1,T1,1,100,32.563
1738257289.390490,1792589.000,5105,1,T1,1,100,32.598
1738257289.523495,1792722.000,5120,1,T1,1,100,32.613
1738257289.657500,1792856.000,5151,1,T1,1,100,32.549
1738257289.790505,1792989.000,5167,1,T1,1,100,32.628
1738257289.923510,1793122.000,5184,1,T1,1,100,32.626
1738257290.056515,1793255.000,5206,1,T1,1,100,32.484
1738257290.190519,1793389.000,5236,1,T1,1,100,32.457
1738257290.323524,1793522.000,5251,1,T1,1,100,32.553
1738257290.456529,1793655.000,5268,1,T1,1,100,32.629
1738257290.590534,1793789.000,5283,1,T1,1,100,32.662
1738257290.723539,1793922.000,5314,1,T1,1,100,32.606
1738257290.856544,1794055.000,5330,1,T1,1,100,32.546
1738257290.990549,1794189.000,5345,1,T1,1,100,32.662
1738257291.123554,1794322.000,5376,1,T1,1,100,32.570
1738257291.256559,1794455.000,5392,1,T1,1,100,32.566
1738257291.390563,1794589.000,5408,1,T1,1,100,32.564
1738257291.523568,1794722.000,5438,1,T1,1,100,32.421
1738257291.656573,1794855.000,5454,1,T1,1,100,32.537
1738257291.790578,1794989.000,5470,1,T1,1,100,32.587
1738257291.923583,1795122.000,5500,1,T1,1,100,32.644
1738257292.056588,1795255.000,5517,1,T1,1,100,32.598
1738257292.190593,1795389.000,5532,1,T1,1,100,32.613
1738257292.323598,1795522.000,5563,1,T1,1,100,32.655
1738257292.456603,1795655.000,5579,1,T1,1,100,32.780
1738257292.590608,1795789.000,5594,1,T1,1,100,32.763
