LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738257281.004699,1771232.000,18966,4,DC,2,100,EA
1738257281.004699,1771232.000,18966,4,DC,2,100,1
1738257281.004699,1771232.000,18966,4,DC,2,100,EL
1738257281.004699,1771232.000,18966,4,DC,2,100,1
1738257281.037451,1771264.750,18984,4,DC,2,100,EA
1738257281.070202,1771297.500,18984,4,DC,2,100,2
1738257281.102954,1771330.250,18984,4,DC,2,100,EL
1738257281.135705,1771363.000,18984,4,DC,2,100,2
1738257281.159706,1771387.000,19000,4,DC,2,100,EA
1738257281.183707,1771411.000,19000,4,DC,2,100,2
1738257281.207709,1771435.000,19000,4,DC,2,100,EL
1738257281.231709,1771459.000,19000,4,DC,2,100,2
1738257281.257711,1771485.000,19017,4,DC,2,100,EA
1738257281.283712,1771511.000,19017,4,DC,2,100,1
1738257281.309713,1771537.000,19017,4,DC,2,100,EL
1738257281.335714,1771563.000,19017,4,DC,2,100,1
1738257281.360715,1771588.000,19033,4,DC,2,100,EA
1738257281.385717,1771613.000,19033,4,DC,2,100,2
1738257281.410718,1771638.000,19033,4,DC,2,100,EL
1738257281.435719,1771663.000,19033,4,DC,2,100,2
1738257281.460970,1771688.250,19050,4,DC,2,100,EA
1738257281.486221,1771713.500,19050,4,DC,2,100,1
1738257281.511472,1771738.750,19050,4,DC,2,100,EL
1738257281.536724,1771764.000,19050,4,DC,2,100,1
1738257281.561725,1771789.000,19066,4,DC,2,100,EA
1738257281.586726,1771814.000,19066,4,DC,2,100,2
1738257281.611727,1771839.000,19066,4,DC,2,100,EL
1738257281.636728,1771864.000,19066,4,DC,2,100,2
1738257281.662479,1771889.750,19083,4,DC,2,100,EA
1738257281.688231,1771915.500,19083,4,DC,2,100,1
1738257281.713982,1771941.250,19083,4,DC,2,100,EL
1738257281.739733,1771967.000,19083,4,DC,2,100,1
1738257281.765234,1771992.500,19102,4,DC,2,100,EA
1738257281.790735,1772018.000,19102,4,DC,2,100,2
1738257281.816236,1772043.500,19102,4,DC,2,100,EL
1738257281.841738,1772069.000,19102,4,DC,2,100,2
1738257281.866739,1772094.000,19118,4,DC,2,100,EA
1738257281.891740,1772119.000,19118,4,DC,2,100,1
1738257281.916741,1772144.000,19118,4,DC,2,100,EL
1738257281.941742,1772169.000,19118,4,DC,2,100,1
1738257281.966993,1772194.250,19134,4,DC,2,100,EA
1738257281.992244,1772219.500,19134,4,DC,2,100,2
1738257282.017495,1772244.750,19134,4,DC,2,100,EL
1738257282.042747,1772270.000,19134,4,DC,2,100,2
1738257282.068998,1772296.250,19152,4,DC,2,100,EA
1738257282.095249,1772322.500,19152,4,DC,2,100,1
1738257282.121500,1772348.750,19152,4,DC,2,100,EL
1738257282.147751,1772375.000,19152,4,DC,2,100,1
1738257282.172003,1772399.250,19168,4,DC,2,100,EA
1738257282.196254,1772423.500,19168,4,DC,2,100,2
1738257282.220505,1772447.750,19168,4,DC,2,100,EL
1738257282.244756,1772472.000,19168,4,DC,2,100,2
1738257282.270507,1772497.750,19184,4,DC,2,100,EA
1738257282.296258,1772523.500,19184,4,DC,2,100,2
1738257282.322009,1772549.250,19184,4,DC,2,100,EL
1738257282.347760,1772575.000,19184,4,DC,2,100,2
1738257282.373012,1772600.250,19201,4,DC,2,100,EA
1738257282.398263,1772625.500,19201,4,DC,2,100,1
1738257282.423514,1772650.750,19201,4,DC,2,100,EL
1738257282.448765,1772676.000,19201,4,DC,2,100,1
1738257282.474016,1772701.250,19218,4,DC,2,100,EA
1738257282.499267,1772726.500,19218,4,DC,2,100,2
1738257282.524518,1772751.750,19218,4,DC,2,100,EL
1738257282.549770,1772777.000,19218,4,DC,2,100,2
1738257282.576021,1772803.250,19234,4,DC,2,100,EA
1738257282.602272,1772829.500,19234,4,DC,2,100,1
1738257282.628523,1772855.750,19234,4,DC,2,100,EL
1738257282.654775,1772882.000,19234,4,DC,2,100,1
1738257282.679276,1772906.500,19251,4,DC,2,100,EA
1738257282.703777,1772931.000,19251,4,DC,2,100,2
1738257282.728278,1772955.500,19251,4,DC,2,100,EL
1738257282.752779,1772980.000,19251,4,DC,2,100,2
1738257282.778280,1773005.500,19267,4,DC,2,100,EA
1738257282.803781,1773031.000,19267,4,DC,2,100,1
1738257282.829283,1773056.500,19267,4,DC,2,100,EL
1738257282.854784,1773082.000,19267,4,DC,2,100,1
1738257282.880035,1773107.250,19284,4,DC,2,100,EA
1738257282.905286,1773132.500,19284,4,DC,2,100,2
1738257282.930537,1773157.750,19284,4,DC,2,100,EL
1738257282.955788,1773183.000,19284,4,DC,2,100,2
1738257282.981040,1773208.250,19300,4,DC,2,100,EA
1738257283.006291,1773233.500,19300,4,DC,2,100,1
1738257283.031542,1773258.750,19300,4,DC,2,100,EL
1738257283.056793,1773284.000,19300,4,DC,2,100,1
1738257283.083044,1773310.250,19317,4,DC,2,100,EA
1738257283.109295,1773336.500,19317,4,DC,2,100,2
1738257283.135546,1773362.750,19317,4,DC,2,100,EL
1738257283.161798,1773389.000,19317,4,DC,2,100,2
1738257283.192299,1773419.500,19338,4,DC,2,100,EA
1738257283.222800,1773450.000,19338,4,DC,2,100,2
1738257283.253302,1773480.500,19338,4,DC,2,100,EL
1738257283.283803,1773511.000,19338,4,DC,2,100,2
1738257283.309804,1773537.000,19355,4,DC,2,100,EA
1738257283.335806,1773563.000,19355,4,DC,2,100,1
1738257283.361807,1773589.000,19355,4,DC,2,100,EL
1738257283.387808,1773615.000,19355,4,DC,2,100,1
1738257283.413309,1773640.500,19372,4,DC,2,100,EA
1738257283.438810,1773666.000,19372,4,DC,2,100,2
1738257283.464312,1773691.500,19372,4,DC,2,100,EL
1738257283.489813,1773717.000,19372,4,DC,2,100,2
1738257283.514814,1773742.000,19389,4,DC,2,100,EA
1738257283.539815,1773767.000,19389,4,DC,2,100,1
1738257283.564816,1773792.000,19389,4,DC,2,100,EL
1738257283.589817,1773817.000,19389,4,DC,2,100,1
1738257283.616068,1773843.250,19404,4,DC,2,100,EA
1738257283.642320,1773869.500,19404,4,DC,2,100,2
1738257283.668571,1773895.750,19404,4,DC,2,100,EL
1738257283.694822,1773922.000,19404,4,DC,2,100,2
1738257283.719323,1773946.500,19422,4,DC,2,100,EA
1738257283.743824,1773971.000,19422,4,DC,2,100,1
1738257283.768325,1773995.500,19422,4,DC,2,100,EL
1738257283.792826,1774020.000,19422,4,DC,2,100,1
1738257283.818328,1774045.500,19438,4,DC,2,100,EA
1738257283.843829,1774071.000,19438,4,DC,2,100,2
1738257283.869330,1774096.500,19438,4,DC,2,100,EL
1738257283.894831,1774122.000,19438,4,DC,2,100,2
1738257283.919832,1774147.000,19455,4,DC,2,100,EA
1738257283.944834,1774172.000,19455,4,DC,2,100,1
1738257283.969835,1774197.000,19455,4,DC,2,100,EL
1738257283.994836,1774222.000,19455,4,DC,2,100,1
1738257284.020087,1774247.250,19471,4,DC,2,100,EA
1738257284.045338,1774272.500,19471,4,DC,2,100,2
1738257284.070589,1774297.750,19471,4,DC,2,100,EL
1738257284.095840,1774323.000,19471,4,DC,2,100,2
1738257284.121092,1774348.250,19488,4,DC,2,100,EA
1738257284.146343,1774373.500,19488,4,DC,2,100,1
1738257284.171594,1774398.750,19488,4,DC,2,100,EL
1738257284.196845,1774424.000,19488,4,DC,2,100,1
1738257284.222096,1774449.250,19504,4,DC,2,100,EA
1738257284.247347,1774474.500,19504,4,DC,2,100,2
1738257284.272599,1774499.750,19504,4,DC,2,100,EL
1738257284.297850,1774525.000,19504,4,DC,2,100,2
1738257284.323601,1774550.750,19521,4,DC,2,100,EA
