LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738257280.973698,1771201.000,18977,2,GY,1,100,-0.885
1738257280.973698,1771201.000,18977,2,GY,1,100,-1.007
1738257281.013700,1771241.000,18995,3,GY,1,100,-0.275
1738257281.053701,1771281.000,18995,3,GY,1,100,0.031
1738257281.093703,1771321.000,18995,3,GY,1,100,0.488
1738257281.133705,1771361.000,19011,3,GY,1,100,0.397
1738257281.173707,1771401.000,19011,3,GY,1,100,0.122
1738257281.213709,1771441.000,19011,3,GY,1,100,0.366
1738257281.253711,1771481.000,19027,2,GY,1,100,0.946
1738257281.293712,1771521.000,19027,2,GY,1,100,0.153
1738257281.333714,1771561.000,19044,3,GY,1,100,0.031
1738257281.373716,1771601.000,19044,3,GY,1,100,0.275
1738257281.413718,1771641.000,19044,3,GY,1,100,-0.031
1738257281.453720,1771681.000,19061,3,GY,1,100,0.092
1738257281.493721,1771721.000,19061,3,GY,1,100,0.183
1738257281.533723,1771761.000,19061,3,GY,1,100,0.031
1738257281.573725,1771801.000,19077,2,GY,1,100,0.183
1738257281.613727,1771841.000,19077,2,GY,1,100,0.122
1738257281.653729,1771881.000,19094,3,GY,1,100,-0.183
1738257281.693731,1771921.000,19094,3,GY,1,100,0.336
1738257281.733732,1771961.000,19094,3,GY,1,100,0.397
1738257281.773734,1772001.000,19112,2,GY,1,100,-0.275
1738257281.813736,1772041.000,19112,2,GY,1,100,0.214
1738257281.853738,1772081.000,19129,3,GY,1,100,0.214
1738257281.893740,1772121.000,19129,3,GY,1,100,0.214
1738257281.933742,1772161.000,19129,3,GY,1,100,0.397
1738257281.973743,1772201.000,19145,2,GY,1,100,-0.153
1738257282.013745,1772241.000,19145,2,GY,1,100,0.671
1738257282.053747,1772281.000,19163,3,GY,1,100,-0.031
1738257282.093749,1772321.000,19163,3,GY,1,100,-0.092
1738257282.133751,1772361.000,19163,3,GY,1,100,0.427
1738257282.173753,1772401.000,19178,2,GY,1,100,0.275
1738257282.213754,1772441.000,19178,2,GY,1,100,-0.031
1738257282.253756,1772481.000,19195,3,GY,1,100,-0.336
1738257282.293758,1772521.000,19195,3,GY,1,100,-0.061
1738257282.333760,1772561.000,19195,3,GY,1,100,-0.061
1738257282.373762,1772601.000,19212,2,GY,1,100,0.549
1738257282.413764,1772641.000,19212,2,GY,1,100,0.275
1738257282.453765,1772681.000,19229,3,GY,1,100,0.488
1738257282.493767,1772721.000,19229,3,GY,1,100,0.092
1738257282.533769,1772761.000,19229,3,GY,1,100,0.671
1738257282.573771,1772801.000,19244,2,GY,1,100,0.763
1738257282.613773,1772841.000,19244,2,GY,1,100,0.336
1738257282.653774,1772881.000,19262,3,GY,1,100,-0.153
1738257282.693776,1772921.000,19262,3,GY,1,100,0.031
1738257282.733778,1772961.000,19262,3,GY,1,100,0.427
1738257282.773447,1773000.667,19278,3,GY,1,100,-0.305
1738257282.813115,1773040.333,19278,3,GY,1,100,0.092
1738257282.852784,1773080.000,19278,3,GY,1,100,0.214
1738257282.892785,1773120.000,19295,2,GY,1,100,-0.031
1738257282.932787,1773160.000,19295,2,GY,1,100,-0.122
1738257282.973122,1773200.333,19310,3,GY,1,100,0.519
1738257283.013458,1773240.667,19310,3,GY,1,100,-0.092
1738257283.053793,1773281.000,19310,3,GY,1,100,1.099
1738257283.093295,1773320.500,19328,2,GY,1,100,0.061
1738257283.132796,1773360.000,19328,2,GY,1,100,0.397
1738257283.172798,1773400.000,19349,3,GY,1,100,0.305
1738257283.212800,1773440.000,19349,3,GY,1,100,0.366
1738257283.252802,1773480.000,19349,3,GY,1,100,0.458
1738257283.292804,1773520.000,19366,3,GY,1,100,0.122
1738257283.332805,1773560.000,19366,3,GY,1,100,0.549
1738257283.372807,1773600.000,19366,3,GY,1,100,1.068
1738257283.413309,1773640.500,19383,2,GY,1,100,1.007
1738257283.453811,1773681.000,19383,2,GY,1,100,1.160
1738257283.493813,1773721.000,19399,3,GY,1,100,0.275
1738257283.533815,1773761.000,19399,3,GY,1,100,0.183
1738257283.573817,1773801.000,19399,3,GY,1,100,0.580
