LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1738257533.931246,2024147,60534,1,SA,1,100,0.000004
1738257534.598276,2024814,60609,1,SA,1,100,0.000000
1738257534.798285,2025014,60645,1,SA,1,100,0.000003
1738257534.998294,2025214,60767,1,SA,1,100,0.000013
1738257535.731328,2025947,60819,1,SA,1,100,0.000002
1738257535.999340,2026215,61044,1,SA,1,100,0.000099
1738257537.532410,2027748,61142,1,SA,1,100,0.000036
1738257538.198440,2028414,61208,1,SA,1,100,0.000005
1738257538.532455,2028748,61289,1,SA,1,100,0.000031
1738257539.198486,2029414,61406,1,SA,1,100,0.000039
1738257539.732510,2029948,61455,1,SA,1,100,0.000028
1738257539.998523,2030214,61519,1,SA,1,100,0.000027
1738257540.797559,2031013,61614,1,SA,1,100,0.000009
1738257541.132574,2031348,61743,1,SA,1,100,0.000067
1738257542.065617,2032281,61822,1,SA,1,100,0.000012
1738257542.331629,2032547,61872,1,SA,1,100,0.000020
1738257543.064662,2033280,61998,1,SA,1,100,0.000025
1738257543.464681,2033680,62046,1,SA,1,100,0.000024
1738257543.797696,2034013,62080,1,SA,1,100,0.000006
1738257544.264717,2034480,62160,1,SA,1,100,0.000015
1738257544.530729,2034746,62198,1,SA,1,100,0.000007
1738257544.997751,2035213,62296,1,SA,1,100,0.000023
1738257545.464772,2035680,62360,1,SA,1,100,0.000014
1738257545.997796,2036213,62427,1,SA,1,100,0.000007
1738257546.597824,2036813,62521,1,SA,1,100,0.000006
1738257546.797833,2037013,62572,1,SA,1,100,0.000008
1738257547.197851,2037413,62667,1,SA,1,100,0.000036
1738257548.330903,2038546,62856,1,SA,1,100,0.000036
1738257549.063936,2039279,62936,1,SA,1,100,0.000019
1738257549.530958,2039746,63006,1,SA,1,100,0.000017
1738257549.996979,2040212,63055,1,SA,1,100,0.000007
1738257550.196988,2040412,63105,1,SA,1,100,0.000011
1738257550.465000,2040680,63139,1,SA,1,100,0.000003
1738257550.798015,2041013,63203,1,SA,1,100,0.000009
1738257551.065028,2041280,63300,1,SA,1,100,0.000044
1738257551.664055,2041879,63338,1,SA,1,100,0.000006
1738257551.998070,2042213,63404,1,SA,1,100,0.000013
1738257552.264082,2042479,63437,1,SA,1,100,0.000015
1738257552.531095,2042746,63470,1,SA,1,100,0.000010
1738257552.998116,2043213,63566,1,SA,1,100,0.000023
1738257553.464137,2043679,63644,1,SA,1,100,0.000022
1738257554.197171,2044412,63742,1,SA,1,100,0.000012
1738257555.064210,2045279,63872,1,SA,1,100,0.000015
1738257555.330222,2045545,63922,1,SA,1,100,0.000014
1738257555.998253,2046213,64048,1,SA,1,100,0.000028
1738257556.797289,2047012,64207,1,SA,1,100,0.000047
1738257557.731332,2047946,64305,1,SA,1,100,0.000036
1738257558.063347,2048278,64369,1,SA,1,100,0.000031
1738257558.997390,2049212,64527,1,SA,1,100,0.000030
1738257559.397408,2049612,64560,1,SA,1,100,0.000016
1738257559.663420,2049878,64594,1,SA,1,100,0.000005
1738257560.130441,2050345,64678,1,SA,1,100,0.000017
1738257560.397454,2050612,64711,1,SA,1,100,0.000009
1738257560.730469,2050945,64793,1,SA,1,100,0.000020
1738257561.063484,2051278,64841,1,SA,1,100,0.000030
1738257561.463502,2051678,64875,1,SA,1,100,0.000009
1738257561.796518,2052011,64941,1,SA,1,100,0.000014
1738257562.063530,2052278,64974,1,SA,1,100,0.000006
1738257562.396545,2052611,65069,1,SA,1,100,0.000027
1738257562.930569,2053145,65119,1,SA,1,100,0.000015
1738257563.196581,2053411,65152,1,SA,1,100,0.000012
1738257563.396590,2053611,65185,1,SA,1,100,0.000007
1738257564.129624,2054344,65345,1,SA,1,100,0.000028
1738257564.596645,2054811,65409,1,SA,1,100,0.000020
1738257565.263676,2055478,65498,1,SA,1,100,0.000013
1738257565.796700,2056011,42,1,SA,1,100,0.000013
1738257566.063712,2056278,106,1,SA,1,100,0.000035
1738257566.463731,2056678,140,1,SA,1,100,0.000007
1738257566.796746,2057011,206,1,SA,1,100,0.000014
1738257567.196764,2057411,270,1,SA,1,100,0.000019
1738257567.863795,2058078,474,1,SA,1,100,0.000076
1738257569.529871,2059744,618,1,SA,1,100,0.000011
1738257569.729880,2059944,732,1,SA,1,100,0.000051
1738257570.395910,2060610,766,1,SA,1,100,0.000010
1738257570.595919,2060810,783,1,SA,1,100,0.000012
1738257571.063941,2061278,865,1,SA,1,100,0.000005
1738257571.263950,2061478,914,1,SA,1,100,0.000017
1738257571.663968,2061878,982,1,SA,1,100,0.000016
1738257571.929980,2062144,1015,1,SA,1,100,0.000009
1738257572.129989,2062344,1048,1,SA,1,100,0.000008
1738257572.329998,2062544,1115,1,SA,1,100,0.000040
1738257572.797020,2063011,1148,1,SA,1,100,0.000006
1738257573.129035,2063343,1196,1,SA,1,100,0.000006
1738257573.597056,2063811,1354,1,SA,1,100,0.000065
1738257574.263087,2064477,1387,1,SA,1,100,0.000017
1738257575.263132,2065477,1534,1,SA,1,100,0.000003
1738257575.463141,2065677,1661,1,SA,1,100,0.000062
1738257576.263178,2066477,1725,1,SA,1,100,0.000032
1738257577.062214,2067276,1822,1,SA,1,100,0.000025
1738257577.329227,2067543,1871,1,SA,1,100,0.000016
1738257577.729245,2067943,1951,1,SA,1,100,0.000037
1738257578.262269,2068476,2016,1,SA,1,100,0.000022
1738257579.062306,2069276,2126,1,SA,1,100,0.000001
1738257579.529327,2069743,2222,1,SA,1,100,0.000022
1738257579.863342,2070077,2316,1,SA,1,100,0.000039
1738257580.595376,2070809,2404,1,SA,1,100,0.000029
1738257581.063397,2071277,2452,1,SA,1,100,0.000004
1738257581.263406,2071477,2501,1,SA,1,100,0.000024
1738257581.863434,2072077,2582,1,SA,1,100,0.000018
1738257582.262452,2072476,2646,1,SA,1,100,0.000013
1738257582.729473,2072943,2727,1,SA,1,100,0.000016
1738257582.996485,2073210,2776,1,SA,1,100,0.000019
1738257583.262497,2073476,2825,1,SA,1,100,0.000015
1738257583.596513,2073810,2889,1,SA,1,100,0.000026
1738257583.995531,2074209,2953,1,SA,1,100,0.000023
1738257584.395549,2074609,3003,1,SA,1,100,0.000014
1738257584.862571,2075076,3067,1,SA,1,100,0.000017
1738257585.262589,2075476,3117,1,SA,1,100,0.000002
1738257585.862616,2076076,3217,1,SA,1,100,0.000006
1738257586.062625,2076276,3251,1,SA,1,100,0.000005
1738257586.528646,2076742,3330,1,SA,1,100,0.000015
1738257587.061671,2077275,3427,1,SA,1,100,0.000023
1738257587.395686,2077609,3478,1,SA,1,100,0.000012
1738257587.661698,2077875,3512,1,SA,1,100,0.000010
1738257588.395732,2078609,3702,1,SA,1,100,0.000063
1738257589.129765,2079343,3750,1,SA,1,100,0.000019
1738257589.595787,2079809,3814,1,SA,1,100,0.000003
1738257589.794796,2080008,3848,1,SA,1,100,0.000010
1738257589.994805,2080208,3881,1,SA,1,100,0.000004
1738257590.194814,2080408,3914,1,SA,1,100,0.000013
1738257590.594832,2080808,3983,1,SA,1,100,0.000017
1738257590.794841,2081008,4048,1,SA,1,100,0.000035
1738257591.394869,2081608,4112,1,SA,1,100,0.000010
1738257591.794887,2082008,4210,1,SA,1,100,0.000041
1738257592.661927,2082875,4355,1,SA,1,100,0.000027
1738257593.195951,2083409,4387,1,SA,1,100,0.000011
1738257594.061990,2084275,4578,1,SA,1,100,0.000036
1738257594.728021,2084941,4657,1,SA,1,100,0.000017
1738257595.062036,2085275,4691,1,SA,1,100,0.000017
1738257595.329048,2085542,4770,1,SA,1,100,0.000038
1738257596.062082,2086275,4839,1,SA,1,100,0.000008
1738257596.395097,2086608,4905,1,SA,1,100,0.000020
1738257596.861118,2087074,4988,1,SA,1,100,0.000020
1738257597.595152,2087808,5098,1,SA,1,100,0.000019
1738257597.929167,2088142,5131,1,SA,1,100,0.000004
1738257598.129176,2088342,5182,1,SA,1,100,0.000023
1738257599.128222,2089341,5340,1,SA,1,100,0.000026
1738257599.594243,2089807,5388,1,SA,1,100,0.000003
1738257599.795252,2090008,5499,1,SA,1,100,0.000066
1738257601.261319,2091474,5665,1,SA,1,100,0.000017
1738257601.528331,2091741,5715,1,SA,1,100,0.000022
1738257601.861346,2092074,5779,1,SA,1,100,0.000025
1738257602.394371,2092607,5874,1,SA,1,100,0.000022
1738257602.794389,2093007,5907,1,SA,1,100,0.000011
1738257603.594426,2093807,6114,1,SA,1,100,0.000064
1738257604.727477,2094940,6240,1,SA,1,100,0.000019
1738257605.394508,2095607,6352,1,SA,1,100,0.000050
1738257606.327550,2096540,6468,1,SA,1,100,0.000024
1738257606.794572,2097007,6581,1,SA,1,100,0.000032
1738257607.527605,2097740,6629,1,SA,1,100,0.000009
1738257607.994627,2098207,6725,1,SA,1,100,0.000024
1738257608.327642,2098540,6758,1,SA,1,100,0.000005
1738257608.794663,2099007,6872,1,SA,1,100,0.000030
1738257609.327687,2099540,6982,1,SA,1,100,0.000042
1738257609.927715,2100140,7031,1,SA,1,100,0.000024
1738257610.260730,2100473,7064,1,SA,1,100,0.000007
1738257610.460739,2100673,7097,1,SA,1,100,0.000007
1738257610.927760,2101140,7178,1,SA,1,100,0.000005
1738257611.393782,2101606,7266,1,SA,1,100,0.000008
1738257611.593791,2101806,7332,1,SA,1,100,0.000034
1738257612.061812,2102274,7380,1,SA,1,100,0.000015
1738257612.327824,2102540,7414,1,SA,1,100,0.000015
1738257613.060858,2103273,7525,1,SA,1,100,0.000008
1738257613.926897,2104139,7713,1,SA,1,100,0.000039
1738257614.860940,2105073,7840,1,SA,1,100,0.000030
1738257615.526970,2105739,7919,1,SA,1,100,0.000009
1738257615.926989,2106139,8020,1,SA,1,100,0.000036
1738257616.594019,2106806,8086,1,SA,1,100,0.000006
1738257616.794028,2107006,8119,1,SA,1,100,0.000013
1738257617.194046,2107406,8202,1,SA,1,100,0.000026
1738257617.528062,2107740,8250,1,SA,1,100,0.000006
1738257618.194092,2108406,8347,1,SA,1,100,0.000017
1738257618.461104,2108673,8430,1,SA,1,100,0.000040
1738257619.261141,2109473,8509,1,SA,1,100,0.000008
1738257619.461150,2109673,8542,1,SA,1,100,0.000003
1738257619.794165,2110006,8640,1,SA,1,100,0.000038
1738257620.660205,2110872,8737,1,SA,1,100,0.000011
