LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1738257279.155233,1752221.000,16123,1,MZ,1,100,-24
1738257279.195235,1752261.000,16139,3,MZ,1,100,-22
1738257279.235237,1752301.000,16139,3,MZ,1,100,-23
1738257279.275238,1752341.000,16139,3,MZ,1,100,-25
1738257279.315240,1752381.000,16156,3,MZ,1,100,-21
1738257279.355242,1752421.000,16156,3,MZ,1,100,-23
1738257279.395244,1752461.000,16156,3,MZ,1,100,-24
1738257279.435245,1752501.000,16173,2,MZ,1,100,-21
1738257279.475247,1752541.000,16173,2,MZ,1,100,-23
1738257279.514915,1752580.667,16189,3,MZ,1,100,-23
1738257279.554584,1752620.333,16189,3,MZ,1,100,-21
1738257279.594252,1752660.000,16189,3,MZ,1,100,-23
1738257279.634754,1752700.500,16205,2,MZ,1,100,-24
1738257279.675256,1752741.000,16205,2,MZ,1,100,-21
1738257279.714924,1752780.667,16223,3,MZ,1,100,-23
1738257279.754593,1752820.333,16223,3,MZ,1,100,-24
1738257279.794261,1752860.000,16223,3,MZ,1,100,-21
1738257279.834263,1752900.000,16239,2,MZ,1,100,-23
1738257279.874264,1752940.000,16239,2,MZ,1,100,-23
1738257279.917766,1752983.500,16263,4,MZ,1,100,-22
1738257279.961268,1753027.000,16263,4,MZ,1,100,-23
1738257280.004770,1753070.500,16263,4,MZ,1,100,-23
1738257280.048272,1753114.000,16263,4,MZ,1,100,-21
1738257280.088274,1753154.000,16280,3,MZ,1,100,-24
1738257280.128276,1753194.000,16280,3,MZ,1,100,-23
1738257280.168277,1753234.000,16280,3,MZ,1,100,-23
1738257280.208279,1753274.000,16296,2,MZ,1,100,-23
1738257280.248281,1753314.000,16296,2,MZ,1,100,-23
1738257280.288283,1753354.000,16312,3,MZ,1,100,-22
1738257280.328284,1753394.000,16312,3,MZ,1,100,-23
1738257280.368286,1753434.000,16312,3,MZ,1,100,-23
1738257280.408288,1753474.000,16330,2,MZ,1,100,-22
1738257280.448290,1753514.000,16330,2,MZ,1,100,-23
1738257280.488291,1753554.000,16346,3,MZ,1,100,-23
1738257280.528293,1753594.000,16346,3,MZ,1,100,-21
1738257280.568295,1753634.000,16346,3,MZ,1,100,-23
1738257280.608297,1753674.000,16363,2,MZ,1,100,-21
1738257280.648298,1753714.000,16363,2,MZ,1,100,-23
1738257280.688300,1753754.000,16379,3,MZ,1,100,-23
1738257280.728302,1753794.000,16379,3,MZ,1,100,-23
1738257280.768304,1753834.000,16379,3,MZ,1,100,-21
1738257280.808305,1753874.000,16396,2,MZ,1,100,-23
1738257280.848307,1753914.000,16396,2,MZ,1,100,-23
1738257280.888309,1753954.000,16412,3,MZ,1,100,-22
1738257280.928311,1753994.000,16412,3,MZ,1,100,-24
1738257280.968312,1754034.000,16412,3,MZ,1,100,-23
1738257281.008314,1754074.000,16429,2,MZ,1,100,-22
1738257281.048316,1754114.000,16429,2,MZ,1,100,-24
1738257281.088318,1754154.000,16445,3,MZ,1,100,-23
1738257281.128319,1754194.000,16445,3,MZ,1,100,-22
1738257281.168321,1754234.000,16445,3,MZ,1,100,-24
1738257281.208323,1754274.000,16462,3,MZ,1,100,-23
1738257281.248325,1754314.000,16462,3,MZ,1,100,-23
1738257281.288326,1754354.000,16462,3,MZ,1,100,-23
1738257281.334828,1754400.500,16478,2,MZ,1,100,-23
1738257281.381330,1754447.000,16478,2,MZ,1,100,-22
1738257281.421332,1754487.000,16498,2,MZ,1,100,-24
1738257281.461334,1754527.000,16498,2,MZ,1,100,-21
1738257281.501336,1754567.000,16513,3,MZ,1,100,-22
1738257281.541337,1754607.000,16513,3,MZ,1,100,-25
1738257281.581339,1754647.000,16513,3,MZ,1,100,-21
1738257281.621341,1754687.000,16530,3,MZ,1,100,-23
1738257281.661343,1754727.000,16530,3,MZ,1,100,-23
1738257281.701344,1754767.000,16530,3,MZ,1,100,-22
1738257281.741346,1754807.000,16547,2,MZ,1,100,-22
1738257281.781348,1754847.000,16547,2,MZ,1,100,-24
1738257281.821350,1754887.000,16564,3,MZ,1,100,-21
1738257281.861351,1754927.000,16564,3,MZ,1,100,-22
1738257281.901353,1754967.000,16564,3,MZ,1,100,-24
1738257281.941355,1755007.000,16579,2,MZ,1,100,-22
