LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738257279.181234,1752247.000,16110,4,PI,1,100,164933
1738257279.181234,1752247.000,16110,4,PI,1,100,164929
1738257279.181234,1752247.000,16110,4,PI,1,100,164955
1738257279.181234,1752247.000,16110,4,PI,1,100,164947
1738257279.190962,1752256.727,16125,11,PI,1,100,164962
1738257279.200690,1752266.455,16125,11,PI,1,100,164945
1738257279.210417,1752276.182,16125,11,PI,1,100,164959
1738257279.220145,1752285.909,16125,11,PI,1,100,164941
1738257279.229873,1752295.636,16125,11,PI,1,100,164929
1738257279.239600,1752305.364,16125,11,PI,1,100,165004
1738257279.249328,1752315.091,16125,11,PI,1,100,164947
1738257279.259056,1752324.818,16125,11,PI,1,100,164949
1738257279.268784,1752334.545,16125,11,PI,1,100,164938
1738257279.278511,1752344.273,16125,11,PI,1,100,164941
1738257279.288239,1752354.000,16125,11,PI,1,100,164961
1738257279.297967,1752363.727,16142,11,PI,1,100,164921
1738257279.307694,1752373.455,16142,11,PI,1,100,164992
1738257279.317422,1752383.182,16142,11,PI,1,100,164931
1738257279.327150,1752392.909,16142,11,PI,1,100,164958
1738257279.336877,1752402.636,16142,11,PI,1,100,164954
1738257279.346605,1752412.364,16142,11,PI,1,100,164962
1738257279.356333,1752422.091,16142,11,PI,1,100,164959
1738257279.366060,1752431.818,16142,11,PI,1,100,164988
1738257279.375788,1752441.545,16142,11,PI,1,100,164929
1738257279.385516,1752451.273,16142,11,PI,1,100,164917
1738257279.395244,1752461.000,16142,11,PI,1,100,164972
1738257279.405844,1752471.600,16159,10,PI,1,100,164969
1738257279.416445,1752482.200,16159,10,PI,1,100,164962
1738257279.427045,1752492.800,16159,10,PI,1,100,164951
1738257279.437645,1752503.400,16159,10,PI,1,100,164921
1738257279.448246,1752514.000,16159,10,PI,1,100,164957
1738257279.458846,1752524.600,16159,10,PI,1,100,164974
1738257279.469447,1752535.200,16159,10,PI,1,100,164947
1738257279.480047,1752545.800,16159,10,PI,1,100,164975
1738257279.490648,1752556.400,16159,10,PI,1,100,164968
1738257279.501248,1752567.000,16159,10,PI,1,100,164919
1738257279.511582,1752577.333,16176,9,PI,1,100,164932
1738257279.521916,1752587.667,16176,9,PI,1,100,164966
1738257279.532250,1752598.000,16176,9,PI,1,100,164923
1738257279.542583,1752608.333,16176,9,PI,1,100,164951
1738257279.552917,1752618.667,16176,9,PI,1,100,164976
1738257279.563251,1752629.000,16176,9,PI,1,100,164960
1738257279.573585,1752639.333,16176,9,PI,1,100,164953
1738257279.583919,1752649.667,16176,9,PI,1,100,164946
1738257279.594252,1752660.000,16176,9,PI,1,100,164968
1738257279.603980,1752669.727,16191,11,PI,1,100,164961
1738257279.613708,1752679.455,16191,11,PI,1,100,164971
1738257279.623435,1752689.182,16191,11,PI,1,100,164950
1738257279.633163,1752698.909,16191,11,PI,1,100,164972
1738257279.642891,1752708.636,16191,11,PI,1,100,164970
1738257279.652618,1752718.364,16191,11,PI,1,100,164946
1738257279.662346,1752728.091,16191,11,PI,1,100,164929
1738257279.672074,1752737.818,16191,11,PI,1,100,164923
1738257279.681802,1752747.545,16191,11,PI,1,100,164961
1738257279.691529,1752757.273,16191,11,PI,1,100,164955
