LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1738260738.847273,751565.000,54055,2,AK,1,100,53323
1738260738.847273,751565.000,54055,2,AK,1,100,RD
1738260741.401367,754119.000,54839,2,AK,1,100,54056
1738260743.955460,756673.000,54839,2,AK,1,100,RD
1738260743.958961,756676.500,54841,2,AK,1,100,54056
1738260743.962461,756680.000,54841,2,AK,1,100,RD
1738260743.972961,756690.500,54844,2,AK,1,100,54842
1738260743.983461,756701.000,54844,2,AK,1,100,RD
1738260746.546555,759264.000,55630,2,AK,1,100,54842
1738260749.109649,761827.000,55630,2,AK,1,100,RD
1738260749.119149,761836.500,55633,2,AK,1,100,55631
1738260749.128650,761846.000,55633,2,AK,1,100,RD
1738260751.677743,764395.000,56361,2,AK,1,100,55631
1738260754.226837,766944.000,56361,2,AK,1,100,RD
1738260754.234837,766952.000,56364,2,AK,1,100,56362
1738260754.242837,766960.000,56364,2,AK,1,100,RD
1738260756.791430,769508.500,57168,2,AK,1,100,56362
1738260759.340024,772057.000,57168,2,AK,1,100,RD
1738260761.894117,774611.000,57967,2,AK,1,100,57169
1738260764.448211,777165.000,57967,2,AK,1,100,RD
1738260764.451711,777168.500,57969,2,AK,1,100,57169
1738260764.455211,777172.000,57969,2,AK,1,100,RD
1738260764.464211,777181.000,57972,2,AK,1,100,57970
1738260764.473212,777190.000,57972,2,AK,1,100,RD
1738260767.030806,779747.500,58770,2,AK,1,100,57970
1738260769.588399,782305.000,58770,2,AK,1,100,RD
1738260769.597399,782314.000,58773,2,AK,1,100,58771
1738260769.606400,782323.000,58773,2,AK,1,100,RD
1738260772.159493,784876.000,59586,2,AK,1,100,58771
1738260774.712587,787429.000,59586,2,AK,1,100,RD
1738260777.277681,789994.000,60405,2,AK,1,100,59587
1738260779.842775,792559.000,60405,2,AK,1,100,RD
1738260779.843775,792560.000,60407,2,AK,1,100,59587
1738260779.844775,792561.000,60407,2,AK,1,100,RD
1738260782.415869,795132.000,61212,2,AK,1,100,60408
1738260784.986963,797703.000,61212,2,AK,1,100,RD
1738260784.988463,797704.500,61214,2,AK,1,100,60408
1738260784.989963,797706.000,61214,2,AK,1,100,RD
1738260784.998464,797714.500,61217,2,AK,1,100,61215
1738260785.006964,797723.000,61217,2,AK,1,100,RD
1738260787.560057,800276.000,62027,2,AK,1,100,61215
1738260790.113151,802829.000,62027,2,AK,1,100,RD
1738260790.123151,802839.000,62030,2,AK,1,100,62028
1738260790.133152,802849.000,62030,2,AK,1,100,RD
1738260792.678745,805394.500,62824,2,AK,1,100,62028
1738260795.224338,807940.000,62824,2,AK,1,100,RD
1738260795.238339,807954.000,62827,2,AK,1,100,62825
1738260795.252339,807968.000,62827,2,AK,1,100,RD
1738260797.805933,810521.500,63636,2,AK,1,100,62825
1738260800.359526,813075.000,63636,2,AK,1,100,RD
1738260802.925620,815641.000,64450,2,AK,1,100,63637
1738260805.491714,818207.000,64450,2,AK,1,100,RD
1738260805.493214,818208.500,64452,2,AK,1,100,63637
1738260805.494714,818210.000,64452,2,AK,1,100,RD
1738260805.503215,818218.500,64455,2,AK,1,100,64453
1738260805.511715,818227.000,64455,2,AK,1,100,RD
1738260808.067809,820783.000,65264,2,AK,1,100,64453
1738260810.623902,823339.000,65264,2,AK,1,100,RD
1738260810.634902,823350.000,65267,2,AK,1,100,65265
1738260810.645903,823361.000,65267,2,AK,1,100,RD
1738260813.201497,825916.500,542,2,AK,1,100,65265
1738260815.757090,828472.000,542,2,AK,1,100,RD
1738260815.766591,828481.500,545,2,AK,1,100,543
1738260815.776091,828491.000,545,2,AK,1,100,RD
1738260818.320684,831035.500,1366,2,AK,1,100,543
1738260820.865277,833580.000,1366,2,AK,1,100,RD
1738260820.898778,833613.500,1369,2,AK,1,100,1367
1738260820.932280,833647.000,1369,2,AK,1,100,RD
1738260823.452872,836167.500,2186,2,AK,1,100,1367
1738260825.973464,838688.000,2186,2,AK,1,100,RD
1738260825.981965,838696.500,2189,2,AK,1,100,2187
1738260825.990465,838705.000,2189,2,AK,1,100,RD
1738260828.537058,841251.500,3006,2,AK,1,100,2187
1738260831.083652,843798.000,3006,2,AK,1,100,RD
1738260831.096152,843810.500,3009,2,AK,1,100,3007
1738260831.108652,843823.000,3009,2,AK,1,100,RD
1738260833.651746,846366.000,3825,2,AK,1,100,3007
1738260836.194839,848909.000,3825,2,AK,1,100,RD
1738260836.204839,848919.000,3828,2,AK,1,100,3826
1738260836.214839,848929.000,3828,2,AK,1,100,RD
1738260838.759433,851473.500,4644,2,AK,1,100,3826
1738260841.304026,854018.000,4644,2,AK,1,100,RD
1738260843.863120,856577.000,5453,2,AK,1,100,4645
1738260846.422213,859136.000,5453,2,AK,1,100,RD
1738260846.423213,859137.000,5455,2,AK,1,100,4645
1738260846.424213,859138.000,5455,2,AK,1,100,RD
1738260846.450714,859164.500,5458,2,AK,1,100,5456
1738260846.477215,859191.000,5458,2,AK,1,100,RD
1738260849.004308,861718.000,6273,2,AK,1,100,5456
1738260851.531400,864245.000,6273,2,AK,1,100,RD
1738260851.543401,864257.000,6276,2,AK,1,100,6274
1738260851.555401,864269.000,6276,2,AK,1,100,RD
1738260854.096494,866810.000,7098,2,AK,1,100,6274
1738260856.637588,869351.000,7098,2,AK,1,100,RD
1738260856.645088,869358.500,7101,2,AK,1,100,7099
1738260856.652588,869366.000,7101,2,AK,1,100,RD
1738260859.199681,871913.000,7917,2,AK,1,100,7099
1738260861.746775,874460.000,7917,2,AK,1,100,RD
1738260861.757775,874471.000,7920,2,AK,1,100,7918
1738260861.768775,874482.000,7920,2,AK,1,100,RD
1738260864.311868,877025.000,8738,2,AK,1,100,7918
1738260866.854962,879568.000,8738,2,AK,1,100,RD
1738260866.898463,879611.500,8741,2,AK,1,100,8739
1738260866.941965,879655.000,8741,2,AK,1,100,RD
1738260869.458557,882171.500,9566,2,AK,1,100,8739
