LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738260739.756998,689858.000,37568,1,MX,1,100,-15
1738260739.796999,689898.000,37583,2,MX,1,100,-14
1738260739.837000,689938.000,37583,2,MX,1,100,-14
1738260739.877002,689978.000,37600,3,MX,1,100,-14
1738260739.917003,690018.000,37600,3,MX,1,100,-14
1738260739.957004,690058.000,37600,3,MX,1,100,-14
1738260739.996505,690097.500,37616,2,MX,1,100,-14
1738260740.036007,690137.000,37616,2,MX,1,100,-14
1738260740.076008,690177.000,37632,3,MX,1,100,-14
1738260740.116009,690217.000,37632,3,MX,1,100,-15
1738260740.156011,690257.000,37632,3,MX,1,100,-15
1738260740.196012,690297.000,37647,2,MX,1,100,-14
1738260740.236013,690337.000,37647,2,MX,1,100,-14
1738260740.271681,690372.667,37664,3,MX,1,100,-14
1738260740.307349,690408.333,37664,3,MX,1,100,-14
1738260740.343017,690444.000,37664,3,MX,1,100,-15
1738260740.383018,690484.000,37680,3,MX,1,100,-14
1738260740.423019,690524.000,37680,3,MX,1,100,-15
1738260740.463021,690564.000,37680,3,MX,1,100,-14
1738260740.503022,690604.000,37696,2,MX,1,100,-14
1738260740.543023,690644.000,37696,2,MX,1,100,-15
1738260740.583025,690684.000,37712,3,MX,1,100,-15
1738260740.623026,690724.000,37712,3,MX,1,100,-14
1738260740.663027,690764.000,37712,3,MX,1,100,-15
1738260740.703029,690804.000,37728,2,MX,1,100,-14
1738260740.743030,690844.000,37728,2,MX,1,100,-16
1738260740.783031,690884.000,37742,3,MX,1,100,-14
1738260740.823033,690924.000,37742,3,MX,1,100,-15
1738260740.863034,690964.000,37742,3,MX,1,100,-15
1738260740.903035,691004.000,37759,2,MX,1,100,-14
1738260740.943037,691044.000,37759,2,MX,1,100,-15
1738260740.983038,691084.000,37774,3,MX,1,100,-14
1738260741.023039,691124.000,37774,3,MX,1,100,-15
1738260741.063040,691164.000,37774,3,MX,1,100,-15
1738260741.103042,691204.000,37795,4,MX,1,100,-13
1738260741.143043,691244.000,37795,4,MX,1,100,-14
1738260741.183044,691284.000,37795,4,MX,1,100,-14
1738260741.223046,691324.000,37795,4,MX,1,100,-14
1738260741.263047,691364.000,37813,2,MX,1,100,-14
1738260741.303048,691404.000,37813,2,MX,1,100,-14
1738260741.343050,691444.000,37829,3,MX,1,100,-14
1738260741.383051,691484.000,37829,3,MX,1,100,-15
1738260741.423052,691524.000,37829,3,MX,1,100,-14
1738260741.463053,691564.000,37843,2,MX,1,100,-14
1738260741.503055,691604.000,37843,2,MX,1,100,-14
1738260741.543056,691644.000,37862,3,MX,1,100,-13
1738260741.583057,691684.000,37862,3,MX,1,100,-13
1738260741.623059,691724.000,37862,3,MX,1,100,-14
1738260741.663060,691764.000,37877,2,MX,1,100,-14
1738260741.703061,691804.000,37877,2,MX,1,100,-13
1738260741.743063,691844.000,37893,3,MX,1,100,-13
1738260741.783064,691884.000,37893,3,MX,1,100,-14
1738260741.823065,691924.000,37893,3,MX,1,100,-14
1738260741.863067,691964.000,37907,2,MX,1,100,-14
1738260741.903068,692004.000,37907,2,MX,1,100,-14
1738260741.943069,692044.000,37924,3,MX,1,100,-13
1738260741.983071,692084.000,37924,3,MX,1,100,-14
1738260742.023072,692124.000,37924,3,MX,1,100,-14
1738260742.063073,692164.000,37939,2,MX,1,100,-14
1738260742.103075,692204.000,37939,2,MX,1,100,-14
1738260742.143076,692244.000,37957,3,MX,1,100,-14
1738260742.183077,692284.000,37957,3,MX,1,100,-14
1738260742.223078,692324.000,37957,3,MX,1,100,-14
1738260742.263080,692364.000,37972,2,MX,1,100,-15
1738260742.303081,692404.000,37972,2,MX,1,100,-14
1738260742.343082,692444.000,37988,3,MX,1,100,-14
