LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1738260739.756998,689858.000,37558,2,PR,1,100,94324
1738260739.756998,689858.000,37558,2,PR,1,100,94476
1738260739.767598,689868.600,37572,10,PR,1,100,94506
1738260739.778198,689879.200,37572,10,PR,1,100,94498
1738260739.788799,689889.800,37572,10,PR,1,100,94433
1738260739.799399,689900.400,37572,10,PR,1,100,94417
1738260739.809999,689911.000,37572,10,PR,1,100,94381
1738260739.820600,689921.600,37572,10,PR,1,100,94360
1738260739.831200,689932.200,37572,10,PR,1,100,94325
1738260739.841800,689942.800,37572,10,PR,1,100,94157
1738260739.852401,689953.400,37572,10,PR,1,100,94172
1738260739.863001,689964.000,37572,10,PR,1,100,94162
1738260739.872401,689973.400,37589,10,PR,1,100,94174
1738260739.881802,689982.800,37589,10,PR,1,100,94150
1738260739.891202,689992.200,37589,10,PR,1,100,94112
1738260739.900602,690001.600,37589,10,PR,1,100,94043
1738260739.910003,690011.000,37589,10,PR,1,100,94000
1738260739.919403,690020.400,37589,10,PR,1,100,93957
1738260739.928803,690029.800,37589,10,PR,1,100,93954
1738260739.938204,690039.200,37589,10,PR,1,100,93861
1738260739.947604,690048.600,37589,10,PR,1,100,93788
1738260739.957004,690058.000,37589,10,PR,1,100,93666
1738260739.967605,690068.600,37606,10,PR,1,100,93404
1738260739.978205,690079.200,37606,10,PR,1,100,93145
1738260739.988805,690089.800,37606,10,PR,1,100,92983
1738260739.999406,690100.400,37606,10,PR,1,100,92819
1738260740.010006,690111.000,37606,10,PR,1,100,92689
1738260740.020606,690121.600,37606,10,PR,1,100,92620
1738260740.031207,690132.200,37606,10,PR,1,100,92450
1738260740.041807,690142.800,37606,10,PR,1,100,92316
1738260740.052407,690153.400,37606,10,PR,1,100,92138
1738260740.063008,690164.000,37606,10,PR,1,100,91919
1738260740.073341,690174.333,37621,9,PR,1,100,91699
1738260740.083675,690184.667,37621,9,PR,1,100,91455
1738260740.094009,690195.000,37621,9,PR,1,100,91250
1738260740.104342,690205.333,37621,9,PR,1,100,90991
1738260740.114676,690215.667,37621,9,PR,1,100,90818
