LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1738260743.659120,649823.000,37293,3,EA,1,100,0.030033
1738260743.659120,649823.000,37293,3,EA,1,100,0.030033
1738260743.659120,649823.000,37293,3,EA,1,100,0.030033
1738260743.726122,649890.000,37310,1,EA,1,100,0.030033
1738260743.792625,649956.500,37326,2,EA,1,100,0.030033
1738260743.859128,650023.000,37326,2,EA,1,100,0.030033
1738260743.926131,650090.000,37343,1,EA,1,100,0.030033
1738260743.992634,650156.500,37359,2,EA,1,100,0.030033
1738260744.059136,650223.000,37359,2,EA,1,100,0.030033
1738260744.125139,650289.000,37376,1,EA,1,100,0.030033
1738260744.192142,650356.000,37392,2,EA,1,100,0.030033
1738260744.259145,650423.000,37392,2,EA,1,100,0.030033
1738260744.325147,650489.000,37410,1,EA,1,100,0.030033
1738260744.392150,650556.000,37425,2,EA,1,100,0.030033
1738260744.459153,650623.000,37425,2,EA,1,100,0.030033
1738260744.525156,650689.000,37442,1,EA,1,100,0.030033
1738260744.592158,650756.000,37459,2,EA,1,100,0.030033
1738260744.659161,650823.000,37459,2,EA,1,100,0.030033
1738260744.725164,650889.000,37476,1,EA,1,100,0.030033
1738260744.792166,650956.000,37491,2,EA,1,100,0.030033
1738260744.859169,651023.000,37491,2,EA,1,100,0.030033
1738260744.925172,651089.000,37508,1,EA,1,100,0.030033
1738260744.992175,651156.000,37525,2,EA,1,100,0.030033
1738260745.059178,651223.000,37525,2,EA,1,100,0.030033
1738260745.125180,651289.000,37542,1,EA,1,100,0.030033
1738260745.192183,651356.000,37557,2,EA,1,100,0.030033
1738260745.259186,651423.000,37557,2,EA,1,100,0.030033
1738260745.325188,651489.000,37575,1,EA,1,100,0.030033
1738260745.392191,651556.000,37593,2,EA,1,100,0.030033
1738260745.459194,651623.000,37593,2,EA,1,100,0.030033
1738260745.526197,651690.000,37610,1,EA,1,100,0.030033
1738260745.592700,651756.500,37627,2,EA,1,100,0.030033
1738260745.659202,651823.000,37627,2,EA,1,100,0.030033
1738260745.725705,651889.500,37645,2,EA,1,100,0.030033
1738260745.792208,651956.000,37645,2,EA,1,100,0.030033
1738260745.859210,652023.000,37661,1,EA,1,100,0.030033
1738260745.925713,652089.500,37679,2,EA,1,100,0.030033
1738260745.992216,652156.000,37679,2,EA,1,100,0.030033
1738260746.059219,652223.000,37695,1,EA,1,100,0.030033
1738260746.125722,652289.500,37711,2,EA,1,100,0.030032
1738260746.192224,652356.000,37711,2,EA,1,100,0.030032
1738260746.259227,652423.000,37727,1,EA,1,100,0.030032
1738260746.325730,652489.500,37745,2,EA,1,100,0.030032
1738260746.392233,652556.000,37745,2,EA,1,100,0.030032
1738260746.459235,652623.000,37761,1,EA,1,100,0.030032
1738260746.525738,652689.500,37777,2,EA,1,100,0.030032
1738260746.592241,652756.000,37777,2,EA,1,100,0.030032
1738260746.659244,652823.000,37794,1,EA,1,100,0.030032
1738260746.725746,652889.500,37813,2,EA,1,100,0.030032
1738260746.792249,652956.000,37813,2,EA,1,100,0.030032
1738260746.859252,653023.000,37829,1,EA,1,100,0.030032
1738260746.925755,653089.500,37846,2,EA,1,100,0.030032
1738260746.992257,653156.000,37846,2,EA,1,100,0.030032
1738260747.058260,653222.000,37862,1,EA,1,100,0.030032
1738260747.125263,653289.000,37879,2,EA,1,100,0.030032
1738260747.192266,653356.000,37879,2,EA,1,100,0.030032
1738260747.259268,653423.000,37897,1,EA,1,100,0.030032
1738260747.325771,653489.500,37914,2,EA,1,100,0.030032
1738260747.392274,653556.000,37914,2,EA,1,100,0.030032
1738260747.459277,653623.000,37930,1,EA,1,100,0.030032
1738260747.525779,653689.500,37947,2,EA,1,100,0.030032
1738260747.592282,653756.000,37947,2,EA,1,100,0.030032
1738260747.659285,653823.000,37964,1,EA,1,100,0.030032
1738260747.725788,653889.500,37981,2,EA,1,100,0.030032
1738260747.792290,653956.000,37981,2,EA,1,100,0.030032
1738260747.858793,654022.500,37996,2,EA,1,100,0.030032
1738260747.925296,654089.000,37996,2,EA,1,100,0.030032
1738260747.992299,654156.000,38016,1,EA,1,100,0.030032
1738260748.058801,654222.500,38032,2,EA,1,100,0.030032
1738260748.125304,654289.000,38032,2,EA,1,100,0.030032
1738260748.192307,654356.000,38049,1,EA,1,100,0.030032
1738260748.258810,654422.500,38065,2,EA,1,100,0.030032
1738260748.325312,654489.000,38065,2,EA,1,100,0.030032
1738260748.392315,654556.000,38082,1,EA,1,100,0.030032
1738260748.458818,654622.500,38098,2,EA,1,100,0.030032
1738260748.525321,654689.000,38098,2,EA,1,100,0.030032
1738260748.592324,654756.000,38115,1,EA,1,100,0.030032
1738260748.658826,654822.500,38135,2,EA,1,100,0.030032
1738260748.725329,654889.000,38135,2,EA,1,100,0.030032
1738260748.791832,654955.500,38151,2,EA,1,100,0.030032
1738260748.858335,655022.000,38151,2,EA,1,100,0.030032
1738260748.925337,655089.000,38168,1,EA,1,100,0.030032
1738260748.991840,655155.500,38185,2,EA,1,100,0.030032
1738260749.058343,655222.000,38185,2,EA,1,100,0.030032
1738260749.125345,655289.000,38202,1,EA,1,100,0.030032
1738260749.191848,655355.500,38220,2,EA,1,100,0.030032
1738260749.258351,655422.000,38220,2,EA,1,100,0.030032
1738260749.325354,655489.000,38237,2,EA,1,100,0.030032
1738260749.392356,655556.000,38237,2,EA,1,100,0.030032
1738260749.458359,655622.000,38253,1,EA,1,100,0.030032
1738260749.525362,655689.000,38270,2,EA,1,100,0.030032
1738260749.592365,655756.000,38270,2,EA,1,100,0.030032
1738260749.658367,655822.000,38287,1,EA,1,100,0.030032
1738260749.725370,655889.000,38303,2,EA,1,100,0.030032
1738260749.792373,655956.000,38303,2,EA,1,100,0.030032
1738260749.858376,656022.000,38319,1,EA,1,100,0.030032
1738260749.925379,656089.000,38337,2,EA,1,100,0.030033
1738260749.992381,656156.000,38337,2,EA,1,100,0.030032
1738260750.058384,656222.000,38353,1,EA,1,100,0.030032
1738260750.125387,656289.000,38369,2,EA,1,100,0.030032
1738260750.192389,656356.000,38369,2,EA,1,100,0.030032
1738260750.258392,656422.000,38385,1,EA,1,100,0.030032
1738260750.325395,656489.000,38405,2,EA,1,100,0.030032
1738260750.392398,656556.000,38405,2,EA,1,100,0.030032
1738260750.458400,656622.000,38421,1,EA,1,100,0.030032
1738260750.525403,656689.000,38437,2,EA,1,100,0.030032
1738260750.592406,656756.000,38437,2,EA,1,100,0.030032
1738260750.658409,656822.000,38454,1,EA,1,100,0.030032
1738260750.725412,656889.000,38471,2,EA,1,100,0.030032
1738260750.792414,656956.000,38471,2,EA,1,100,0.030032
1738260750.858417,657022.000,38487,1,EA,1,100,0.030032
1738260750.925420,657089.000,38504,2,EA,1,100,0.030032
1738260750.992423,657156.000,38504,2,EA,1,100,0.030032
1738260751.058425,657222.000,38522,1,EA,1,100,0.030032
1738260751.124928,657288.500,38539,2,EA,1,100,0.030032
1738260751.191431,657355.000,38539,2,EA,1,100,0.030032
1738260751.258434,657422.000,38555,1,EA,1,100,0.030032
1738260751.324936,657488.500,38573,2,EA,1,100,0.030032
1738260751.391439,657555.000,38573,2,EA,1,100,0.030032
1738260751.458442,657622.000,38588,1,EA,1,100,0.030032
1738260751.524945,657688.500,38605,2,EA,1,100,0.030032
1738260751.591447,657755.000,38605,2,EA,1,100,0.030032
1738260751.658450,657822.000,38622,2,EA,1,100,0.030032
1738260751.725453,657889.000,38622,2,EA,1,100,0.030032
1738260751.792456,657956.000,38639,1,EA,1,100,0.030032
1738260751.858958,658022.500,38654,2,EA,1,100,0.030032
1738260751.925461,658089.000,38654,2,EA,1,100,0.030032
1738260751.992464,658156.000,38672,1,EA,1,100,0.030032
1738260752.058967,658222.500,38688,2,EA,1,100,0.030032
1738260752.125469,658289.000,38688,2,EA,1,100,0.030032
1738260752.191472,658355.000,38705,1,EA,1,100,0.030032
1738260752.258475,658422.000,38721,2,EA,1,100,0.030032
1738260752.325478,658489.000,38721,2,EA,1,100,0.030032
1738260752.391480,658555.000,38738,1,EA,1,100,0.030032
1738260752.458483,658622.000,38754,2,EA,1,100,0.030032
1738260752.525486,658689.000,38754,2,EA,1,100,0.030032
1738260752.591489,658755.000,38771,1,EA,1,100,0.030032
1738260752.658491,658822.000,38787,2,EA,1,100,0.030032
1738260752.725494,658889.000,38787,2,EA,1,100,0.030032
1738260752.791497,658955.000,38804,1,EA,1,100,0.030032
1738260752.858500,659022.000,38820,2,EA,1,100,0.030032
1738260752.925503,659089.000,38820,2,EA,1,100,0.030032
1738260752.991505,659155.000,38838,1,EA,1,100,0.030032
1738260753.058508,659222.000,38854,2,EA,1,100,0.030032
1738260753.125511,659289.000,38854,2,EA,1,100,0.030032
1738260753.191514,659355.000,38870,1,EA,1,100,0.030032
1738260753.258516,659422.000,38887,2,EA,1,100,0.030032
1738260753.325519,659489.000,38887,2,EA,1,100,0.030031
1738260753.391522,659555.000,38904,1,EA,1,100,0.030032
1738260753.458025,659621.500,38920,2,EA,1,100,0.030032
1738260753.524527,659688.000,38920,2,EA,1,100,0.030032
1738260753.591530,659755.000,38937,2,EA,1,100,0.030032
1738260753.658533,659822.000,38937,2,EA,1,100,0.030032
1738260753.724535,659888.000,38953,1,EA,1,100,0.030031
1738260753.791538,659955.000,38975,2,EA,1,100,0.030032
1738260753.858541,660022.000,38975,2,EA,1,100,0.030032
1738260753.925044,660088.500,38992,2,EA,1,100,0.030032
1738260753.991546,660155.000,38992,2,EA,1,100,0.030031
1738260754.058549,660222.000,39009,1,EA,1,100,0.030031
1738260754.125052,660288.500,39024,2,EA,1,100,0.030031
1738260754.191555,660355.000,39024,2,EA,1,100,0.030031
1738260754.258558,660422.000,39043,1,EA,1,100,0.030031
1738260754.325060,660488.500,39060,2,EA,1,100,0.030031
1738260754.391563,660555.000,39060,2,EA,1,100,0.030031
1738260754.458566,660622.000,39077,1,EA,1,100,0.030031
1738260754.525069,660688.500,39093,2,EA,1,100,0.030031
1738260754.591571,660755.000,39093,2,EA,1,100,0.030031
1738260754.658574,660822.000,39110,1,EA,1,100,0.030031
1738260754.725077,660888.500,39126,2,EA,1,100,0.030031
1738260754.791579,660955.000,39126,2,EA,1,100,0.030031
1738260754.858082,661021.500,39143,2,EA,1,100,0.030031
1738260754.924585,661088.000,39143,2,EA,1,100,0.030031
1738260754.991588,661155.000,39160,1,EA,1,100,0.030031
1738260755.058090,661221.500,39176,2,EA,1,100,0.030031
1738260755.124593,661288.000,39176,2,EA,1,100,0.030032
1738260755.191596,661355.000,39192,1,EA,1,100,0.030031
1738260755.258099,661421.500,39210,2,EA,1,100,0.030032
1738260755.324601,661488.000,39210,2,EA,1,100,0.030031
1738260755.391604,661555.000,39228,1,EA,1,100,0.030031
1738260755.458107,661621.500,39244,2,EA,1,100,0.030032
1738260755.524610,661688.000,39244,2,EA,1,100,0.030032
1738260755.591613,661755.000,39260,1,EA,1,100,0.030032
1738260755.658115,661821.500,39278,2,EA,1,100,0.030032
1738260755.724618,661888.000,39278,2,EA,1,100,0.030032
1738260755.791621,661955.000,39294,1,EA,1,100,0.030032
1738260755.858124,662021.500,39312,2,EA,1,100,0.030032
1738260755.924626,662088.000,39312,2,EA,1,100,0.030032
1738260755.991629,662155.000,39329,1,EA,1,100,0.030032
1738260756.058132,662221.500,39346,2,EA,1,100,0.030032
1738260756.124635,662288.000,39346,2,EA,1,100,0.030032
1738260756.191637,662355.000,39362,1,EA,1,100,0.030032
1738260756.258140,662421.500,39380,2,EA,1,100,0.030032
1738260756.324643,662488.000,39380,2,EA,1,100,0.030032
1738260756.391646,662555.000,39395,1,EA,1,100,0.030032
1738260756.458148,662621.500,39412,2,EA,1,100,0.030032
1738260756.524651,662688.000,39412,2,EA,1,100,0.030031
1738260756.591654,662755.000,39428,1,EA,1,100,0.030032
1738260756.658157,662821.500,39446,2,EA,1,100,0.030031
1738260756.724659,662888.000,39446,2,EA,1,100,0.030032
1738260756.791662,662955.000,39461,2,EA,1,100,0.030031
1738260756.858665,663022.000,39461,2,EA,1,100,0.030031
1738260756.924668,663088.000,39478,1,EA,1,100,0.030031
1738260756.991670,663155.000,39495,2,EA,1,100,0.030031
1738260757.058673,663222.000,39495,2,EA,1,100,0.030031
1738260757.124676,663288.000,39512,1,EA,1,100,0.030031
1738260757.191179,663354.500,39527,2,EA,1,100,0.030031
1738260757.257681,663421.000,39527,2,EA,1,100,0.030031
1738260757.324684,663488.000,39545,1,EA,1,100,0.030031
1738260757.391687,663555.000,39561,2,EA,1,100,0.030031
1738260757.458690,663622.000,39561,2,EA,1,100,0.030031
1738260757.524692,663688.000,39578,1,EA,1,100,0.030031
1738260757.591195,663754.500,39594,2,EA,1,100,0.030031
1738260757.657698,663821.000,39594,2,EA,1,100,0.030031
1738260757.724701,663888.000,39611,1,EA,1,100,0.030031
1738260757.791203,663954.500,39627,2,EA,1,100,0.030031
1738260757.857706,664021.000,39627,2,EA,1,100,0.030031
1738260757.924709,664088.000,39644,1,EA,1,100,0.030031
1738260757.991212,664154.500,39660,2,EA,1,100,0.030031
1738260758.057714,664221.000,39660,2,EA,1,100,0.030031
1738260758.124717,664288.000,39677,1,EA,1,100,0.030031
1738260758.191220,664354.500,39695,2,EA,1,100,0.030031
1738260758.257723,664421.000,39695,2,EA,1,100,0.030031
1738260758.324725,664488.000,39713,1,EA,1,100,0.030031
1738260758.391228,664554.500,39729,2,EA,1,100,0.030031
1738260758.457731,664621.000,39729,2,EA,1,100,0.030031
1738260758.524734,664688.000,39745,1,EA,1,100,0.030031
1738260758.591236,664754.500,39762,2,EA,1,100,0.030031
1738260758.657739,664821.000,39762,2,EA,1,100,0.030031
1738260758.724742,664888.000,39779,2,EA,1,100,0.030031
1738260758.791745,664955.000,39779,2,EA,1,100,0.030031
1738260758.857748,665021.000,39795,1,EA,1,100,0.030030
1738260758.924750,665088.000,39819,2,EA,1,100,0.030030
1738260758.991753,665155.000,39819,2,EA,1,100,0.030031
1738260759.058256,665221.500,39835,2,EA,1,100,0.030030
1738260759.124758,665288.000,39835,2,EA,1,100,0.030031
1738260759.191761,665355.000,39852,1,EA,1,100,0.030030
1738260759.258264,665421.500,39869,2,EA,1,100,0.030030
1738260759.324767,665488.000,39869,2,EA,1,100,0.030031
1738260759.391769,665555.000,39886,1,EA,1,100,0.030030
1738260759.458272,665621.500,39902,2,EA,1,100,0.030030
1738260759.524775,665688.000,39902,2,EA,1,100,0.030030
1738260759.591278,665754.500,39919,2,EA,1,100,0.030031
1738260759.657780,665821.000,39919,2,EA,1,100,0.030030
1738260759.724783,665888.000,39935,1,EA,1,100,0.030031
1738260759.791286,665954.500,39952,2,EA,1,100,0.030030
1738260759.857789,666021.000,39952,2,EA,1,100,0.030030
1738260759.924792,666088.000,39968,1,EA,1,100,0.030031
1738260759.991294,666154.500,39985,2,EA,1,100,0.030030
1738260760.057797,666221.000,39985,2,EA,1,100,0.030030
1738260760.124800,666288.000,40001,1,EA,1,100,0.030030
1738260760.191303,666354.500,40018,2,EA,1,100,0.030030
1738260760.257805,666421.000,40018,2,EA,1,100,0.030030
1738260760.324808,666488.000,40035,1,EA,1,100,0.030031
1738260760.391311,666554.500,40053,2,EA,1,100,0.030030
1738260760.457814,666621.000,40053,2,EA,1,100,0.030031
1738260760.524816,666688.000,40069,1,EA,1,100,0.030031
1738260760.591319,666754.500,40087,2,EA,1,100,0.030030
1738260760.657822,666821.000,40087,2,EA,1,100,0.030031
1738260760.724825,666888.000,40105,1,EA,1,100,0.030031
1738260760.791327,666954.500,40121,2,EA,1,100,0.030030
1738260760.857830,667021.000,40121,2,EA,1,100,0.030031
1738260760.924833,667088.000,40137,1,EA,1,100,0.030031
1738260760.991336,667154.500,40155,2,EA,1,100,0.030031
1738260761.057838,667221.000,40155,2,EA,1,100,0.030031
1738260761.124841,667288.000,40171,1,EA,1,100,0.030031
1738260761.191344,667354.500,40187,2,EA,1,100,0.030031
1738260761.257847,667421.000,40187,2,EA,1,100,0.030031
1738260761.324849,667488.000,40204,1,EA,1,100,0.030031
1738260761.391352,667554.500,40221,2,EA,1,100,0.030031
1738260761.457855,667621.000,40221,2,EA,1,100,0.030031
1738260761.524858,667688.000,40237,1,EA,1,100,0.030031
1738260761.591360,667754.500,40255,2,EA,1,100,0.030031
1738260761.657863,667821.000,40255,2,EA,1,100,0.030031
1738260761.724366,667887.500,40270,2,EA,1,100,0.030031
1738260761.790869,667954.000,40270,2,EA,1,100,0.030031
1738260761.857871,668021.000,40287,1,EA,1,100,0.030031
1738260761.924374,668087.500,40304,2,EA,1,100,0.030031
1738260761.990877,668154.000,40304,2,EA,1,100,0.030031
1738260762.057880,668221.000,40321,1,EA,1,100,0.030031
1738260762.124382,668287.500,40336,2,EA,1,100,0.030031
1738260762.190885,668354.000,40336,2,EA,1,100,0.030031
1738260762.257888,668421.000,40355,1,EA,1,100,0.030031
1738260762.324391,668487.500,40372,2,EA,1,100,0.030031
1738260762.390893,668554.000,40372,2,EA,1,100,0.030031
1738260762.457896,668621.000,40389,1,EA,1,100,0.030031
1738260762.524399,668687.500,40404,2,EA,1,100,0.030031
1738260762.590902,668754.000,40404,2,EA,1,100,0.030031
1738260762.657904,668821.000,40422,1,EA,1,100,0.030031
1738260762.724407,668887.500,40438,2,EA,1,100,0.030031
1738260762.790910,668954.000,40438,2,EA,1,100,0.030031
1738260762.857913,669021.000,40455,1,EA,1,100,0.030031
1738260762.924415,669087.500,40471,2,EA,1,100,0.030030
1738260762.990918,669154.000,40471,2,EA,1,100,0.030031
1738260763.057921,669221.000,40488,1,EA,1,100,0.030031
1738260763.124424,669287.500,40504,2,EA,1,100,0.030031
1738260763.190927,669354.000,40504,2,EA,1,100,0.030031
1738260763.257929,669421.000,40521,1,EA,1,100,0.030030
1738260763.324432,669487.500,40537,2,EA,1,100,0.030031
1738260763.390935,669554.000,40537,2,EA,1,100,0.030030
1738260763.457937,669621.000,40554,1,EA,1,100,0.030030
1738260763.524440,669687.500,40570,2,EA,1,100,0.030031
1738260763.590943,669754.000,40570,2,EA,1,100,0.030031
1738260763.657946,669821.000,40588,1,EA,1,100,0.030031
1738260763.724448,669887.500,40604,2,EA,1,100,0.030030
1738260763.790951,669954.000,40604,2,EA,1,100,0.030030
1738260763.857954,670021.000,40620,1,EA,1,100,0.030030
1738260763.924457,670087.500,40637,2,EA,1,100,0.030030
1738260763.990959,670154.000,40637,2,EA,1,100,0.030030
1738260764.057462,670220.500,40659,2,EA,1,100,0.030030
1738260764.123965,670287.000,40659,2,EA,1,100,0.030030
1738260764.190968,670354.000,40675,2,EA,1,100,0.030030
1738260764.257971,670421.000,40675,2,EA,1,100,0.030030
1738260764.323973,670487.000,40693,1,EA,1,100,0.030030
1738260764.390976,670554.000,40708,2,EA,1,100,0.030030
1738260764.457979,670621.000,40708,2,EA,1,100,0.030031
1738260764.523982,670687.000,40727,1,EA,1,100,0.030030
1738260764.590984,670754.000,40744,2,EA,1,100,0.030031
1738260764.657987,670821.000,40744,2,EA,1,100,0.030030
1738260764.723990,670887.000,40761,1,EA,1,100,0.030030
1738260764.790992,670954.000,40776,2,EA,1,100,0.030030
1738260764.857995,671021.000,40776,2,EA,1,100,0.030031
1738260764.923998,671087.000,40793,1,EA,1,100,0.030031
1738260764.991001,671154.000,40810,2,EA,1,100,0.030030
1738260765.058004,671221.000,40810,2,EA,1,100,0.030030
1738260765.125006,671288.000,40827,1,EA,1,100,0.030031
1738260765.191509,671354.500,40843,2,EA,1,100,0.030030
1738260765.258012,671421.000,40843,2,EA,1,100,0.030030
1738260765.324014,671487.000,40860,1,EA,1,100,0.030030
1738260765.391017,671554.000,40878,2,EA,1,100,0.030030
1738260765.458020,671621.000,40878,2,EA,1,100,0.030030
1738260765.524523,671687.500,40895,2,EA,1,100,0.030031
1738260765.591026,671754.000,40895,2,EA,1,100,0.030031
1738260765.658028,671821.000,40912,1,EA,1,100,0.030030
1738260765.724531,671887.500,40928,2,EA,1,100,0.030031
1738260765.791034,671954.000,40928,2,EA,1,100,0.030030
1738260765.858037,672021.000,40944,1,EA,1,100,0.030030
1738260765.924539,672087.500,40962,2,EA,1,100,0.030030
1738260765.991042,672154.000,40962,2,EA,1,100,0.030030
1738260766.058045,672221.000,40978,1,EA,1,100,0.030031
1738260766.124548,672287.500,40994,2,EA,1,100,0.030031
1738260766.191050,672354.000,40994,2,EA,1,100,0.030031
1738260766.258053,672421.000,41010,1,EA,1,100,0.030031
1738260766.324556,672487.500,41028,2,EA,1,100,0.030030
1738260766.391059,672554.000,41028,2,EA,1,100,0.030030
1738260766.458061,672621.000,41044,1,EA,1,100,0.030031
1738260766.524564,672687.500,41060,2,EA,1,100,0.030030
1738260766.591067,672754.000,41060,2,EA,1,100,0.030030
1738260766.658070,672821.000,41077,1,EA,1,100,0.030031
1738260766.724572,672887.500,41094,2,EA,1,100,0.030031
1738260766.791075,672954.000,41094,2,EA,1,100,0.030030
1738260766.858078,673021.000,41110,1,EA,1,100,0.030031
1738260766.924581,673087.500,41127,2,EA,1,100,0.030030
1738260766.991083,673154.000,41127,2,EA,1,100,0.030031
1738260767.058086,673221.000,41143,1,EA,1,100,0.030030
1738260767.124589,673287.500,41160,2,EA,1,100,0.030030
1738260767.191092,673354.000,41160,2,EA,1,100,0.030030
1738260767.258094,673421.000,41178,1,EA,1,100,0.030030
1738260767.324597,673487.500,41196,2,EA,1,100,0.030030
1738260767.391100,673554.000,41196,2,EA,1,100,0.030030
1738260767.457603,673620.500,41211,2,EA,1,100,0.030031
1738260767.524105,673687.000,41211,2,EA,1,100,0.030030
1738260767.591108,673754.000,41228,1,EA,1,100,0.030031
1738260767.657611,673820.500,41245,2,EA,1,100,0.030031
1738260767.724114,673887.000,41245,2,EA,1,100,0.030031
1738260767.791116,673954.000,41262,1,EA,1,100,0.030031
1738260767.857619,674020.500,41277,2,EA,1,100,0.030031
1738260767.924122,674087.000,41277,2,EA,1,100,0.030031
1738260767.991125,674154.000,41295,1,EA,1,100,0.030031
1738260768.057627,674220.500,41313,2,EA,1,100,0.030031
1738260768.124130,674287.000,41313,2,EA,1,100,0.030031
1738260768.191133,674354.000,41330,1,EA,1,100,0.030031
1738260768.257636,674420.500,41346,2,EA,1,100,0.030031
1738260768.324138,674487.000,41346,2,EA,1,100,0.030031
1738260768.391141,674554.000,41363,1,EA,1,100,0.030031
1738260768.457644,674620.500,41379,2,EA,1,100,0.030031
1738260768.524147,674687.000,41379,2,EA,1,100,0.030031
1738260768.591150,674754.000,41396,1,EA,1,100,0.030031
1738260768.657652,674820.500,41412,2,EA,1,100,0.030031
1738260768.724155,674887.000,41412,2,EA,1,100,0.030031
1738260768.791158,674954.000,41431,1,EA,1,100,0.030031
1738260768.857661,675020.500,41447,2,EA,1,100,0.030031
1738260768.924163,675087.000,41447,2,EA,1,100,0.030031
1738260768.991166,675154.000,41465,1,EA,1,100,0.030031
1738260769.057669,675220.500,41480,2,EA,1,100,0.030031
1738260769.124171,675287.000,41480,2,EA,1,100,0.030031
1738260769.190674,675353.500,41504,2,EA,1,100,0.030031
1738260769.257177,675420.000,41504,2,EA,1,100,0.030031
1738260769.324180,675487.000,41521,2,EA,1,100,0.030031
1738260769.391182,675554.000,41521,2,EA,1,100,0.030031
1738260769.457185,675620.000,41538,1,EA,1,100,0.030031
1738260769.524188,675687.000,41556,2,EA,1,100,0.030031
1738260769.591191,675754.000,41556,2,EA,1,100,0.030031
1738260769.657193,675820.000,41574,1,EA,1,100,0.030031
1738260769.724196,675887.000,41589,2,EA,1,100,0.030030
1738260769.791199,675954.000,41589,2,EA,1,100,0.030031
1738260769.857202,676020.000,41606,1,EA,1,100,0.030031
1738260769.924205,676087.000,41623,2,EA,1,100,0.030031
1738260769.991207,676154.000,41623,2,EA,1,100,0.030031
1738260770.057210,676220.000,41640,1,EA,1,100,0.030030
1738260770.124213,676287.000,41655,2,EA,1,100,0.030030
