LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1738260745.703204,651867,37640,1,HR,1,100,42.84
1738260746.787249,652951,37808,1,HR,1,100,45.78
1738260747.223267,653387,37892,1,HR,1,100,65.91
1738260747.950297,654114,38010,1,HR,1,100,69.78
1738260749.196348,655360,38215,1,HR,1,100,65.11
1738260751.053425,657217,38517,1,HR,1,100,57.89
1738260754.313560,660477,39038,1,HR,1,100,49.14
1738260755.879624,662043,39307,1,HR,1,100,46.82
1738260758.245722,664409,39690,1,HR,1,100,42.09
1738260758.965752,665129,39813,1,HR,1,100,51.52
1738260760.725825,666889,40100,1,HR,1,100,47.69
1738260762.249887,668413,40350,1,HR,1,100,45.92
1738260764.485980,670649,40722,1,HR,1,100,41.75
1738260767.262094,673425,41173,1,HR,1,100,37.28
1738260768.115130,674278,41308,1,HR,1,100,44.87
1738260768.785157,674948,41426,1,HR,1,100,54.80
1738260769.532188,675695,41551,1,HR,1,100,60.64
1738260772.932329,679095,42102,1,HR,1,100,51.12
1738260775.022415,681185,42439,1,HR,1,100,46.20
1738260776.261466,682424,42658,1,HR,1,100,46.78
1738260777.698526,683861,42892,1,HR,1,100,45.70
1738260778.405555,684568,43011,1,HR,1,100,54.60
1738260778.624564,684787,43045,1,HR,1,100,103.07
1738260779.941618,686104,43252,1,HR,1,100,90.42
1738260780.945660,687108,43421,1,HR,1,100,83.66
1738260781.994703,688157,43606,1,HR,1,100,77.89
1738260783.114749,689277,43790,1,HR,1,100,72.59
1738260783.967785,690130,43924,1,HR,1,100,72.33
1738260784.104790,690267,43943,1,HR,1,100,151.50
1738260785.314840,691477,44150,1,HR,1,100,128.85
1738260786.587893,692750,44352,1,HR,1,100,110.80
1738260787.953949,694116,44585,1,HR,1,100,95.98
1738260789.178000,695340,44786,1,HR,1,100,85.67
1738260789.398009,695560,44822,1,HR,1,100,127.24
1738260790.657061,696819,45031,1,HR,1,100,109.63
1738260791.567098,697729,45183,1,HR,1,100,100.08
1738260792.871152,699033,45384,1,HR,1,100,88.18
1738260795.280252,701442,45787,1,HR,1,100,74.16
1738260796.094285,702256,45924,1,HR,1,100,74.14
1738260797.203331,703365,46108,1,HR,1,100,69.79
1738260798.467383,704629,46309,1,HR,1,100,64.94
1738260799.490426,705652,46476,1,HR,1,100,63.58
1738260800.720477,706882,46685,1,HR,1,100,60.38
1738260802.156536,708318,46919,1,HR,1,100,56.35
1738260804.950651,711112,47368,1,HR,1,100,48.64
1738260805.823687,711985,47526,1,HR,1,100,53.16
1738260808.236787,714398,47910,1,HR,1,100,46.93
1738260808.396794,714558,47945,1,HR,1,100,119.83
1738260809.449837,715611,48113,1,HR,1,100,106.02
1738260812.485963,718647,48621,1,HR,1,100,86.89
1738260813.770015,719931,48822,1,HR,1,100,78.00
1738260814.943064,721104,49022,1,HR,1,100,72.16
1738260816.209116,722370,49229,1,HR,1,100,66.71
1738260816.376123,722537,49247,1,HR,1,100,135.22
1738260816.516129,722677,49282,1,HR,1,100,200.41
1738260817.596174,723757,49467,1,HR,1,100,168.34
1738260819.949271,726110,49849,1,HR,1,100,136.65
1738260820.969313,727130,50010,1,HR,1,100,119.35
1738260823.189405,729350,50377,1,HR,1,100,98.89
1738260824.202446,730363,50545,1,HR,1,100,90.25
1738260825.532501,731693,50764,1,HR,1,100,80.29
1738260826.678549,732839,50953,1,HR,1,100,74.15
1738260827.855597,734016,51154,1,HR,1,100,69.16
1738260828.105608,734266,51190,1,HR,1,100,107.13
1738260829.195653,735356,51373,1,HR,1,100,95.67
1738260830.704715,736865,51632,1,HR,1,100,83.30
1738260832.008769,738169,51832,1,HR,1,100,75.12
1738260833.244820,739405,52033,1,HR,1,100,69.27
1738260834.141857,740302,52184,1,HR,1,100,68.86
1738260835.401909,741562,52404,1,HR,1,100,64.22
1738260836.367949,742528,52560,1,HR,1,100,63.98
1738260836.577958,742738,52595,1,HR,1,100,113.26
1738260837.457994,743618,52747,1,HR,1,100,103.24
1738260838.481036,744641,52914,1,HR,1,100,93.50
1738260839.325071,745485,53048,1,HR,1,100,88.60
1738260841.595165,747755,53419,1,HR,1,100,74.83
1738260842.915219,749075,53636,1,HR,1,100,68.38
1738260844.361279,750521,53870,1,HR,1,100,62.51
1738260845.578329,751738,54073,1,HR,1,100,59.64
1738260847.174395,753334,54332,1,HR,1,100,54.82
1738260848.134435,754294,54483,1,HR,1,100,56.68
1738260848.217438,754377,54502,1,HR,1,100,210.75
1738260850.550535,756710,54886,1,HR,1,100,169.67
1738260851.577577,757737,55059,1,HR,1,100,145.03
1738260856.120765,762280,55809,1,HR,1,100,115.76
1738260858.746873,764906,56231,1,HR,1,100,95.17
1738260858.850878,765010,56250,1,HR,1,100,195.24
1738260859.999925,766159,56433,1,HR,1,100,163.54
1738260861.342980,767502,56670,1,HR,1,100,137.22
1738260862.270019,768429,56808,1,HR,1,100,121.22
1738260863.340063,769499,56992,1,HR,1,100,106.86
1738260864.393106,770552,57160,1,HR,1,100,95.93
1738260865.293144,771452,57311,1,HR,1,100,89.60
1738260866.346187,772505,57481,1,HR,1,100,82.38
1738260866.526195,772685,57516,1,HR,1,100,138.15
1738260867.520236,773679,57673,1,HR,1,100,121.06
1738260868.936294,775095,57907,1,HR,1,100,103.61
1738260870.139344,776298,58108,1,HR,1,100,91.79
1738260871.399396,777558,58327,1,HR,1,100,82.06
1738260872.699450,778858,58533,1,HR,1,100,74.16
1738260874.212512,780371,58783,1,HR,1,100,66.57
1738260875.305557,781464,58951,1,HR,1,100,64.12
1738260875.465564,781624,58988,1,HR,1,100,133.21
1738260876.375601,782534,59139,1,HR,1,100,118.42
1738260877.445646,783604,59312,1,HR,1,100,104.68
1738260879.435728,785594,59645,1,HR,1,100,88.15
1738260880.342765,786501,59799,1,HR,1,100,83.38
1738260881.348807,787507,59967,1,HR,1,100,78.32
1738260883.571899,789730,60321,1,HR,1,100,66.95
1738260884.641943,790800,60505,1,HR,1,100,64.65
1738260884.721946,790880,60507,1,HR,1,100,216.96
1738260885.874994,792033,60711,1,HR,1,100,180.44
1738260887.372056,793530,60951,1,HR,1,100,149.29
1738260889.465142,795623,61300,1,HR,1,100,122.55
1738260889.972163,796130,61384,1,HR,1,100,121.99
1738260891.408222,797566,61621,1,HR,1,100,104.20
1738260892.051249,798209,61723,1,HR,1,100,101.88
1738260892.808280,798966,61845,1,HR,1,100,97.02
1738260893.505309,799663,61964,1,HR,1,100,94.78
1738260894.051332,800209,62047,1,HR,1,100,98.41
1738260895.281382,801439,62265,1,HR,1,100,87.47
1738260897.631479,803789,62636,1,HR,1,100,73.75
1738260898.417512,804575,62771,1,HR,1,100,74.46
1738260899.601561,805759,62972,1,HR,1,100,69.31
1738260900.634604,806792,63141,1,HR,1,100,66.85
1738260901.870654,808028,63342,1,HR,1,100,62.92
1738260903.854736,810012,63666,1,HR,1,100,55.71
1738260904.933781,811091,63851,1,HR,1,100,55.79
1738260905.977824,812135,64020,1,HR,1,100,56.34
1738260906.723855,812881,64138,1,HR,1,100,61.60
1738260907.887903,814045,64327,1,HR,1,100,59.50
1738260909.546972,815704,64610,1,HR,1,100,54.41
1738260910.664018,816821,64780,1,HR,1,100,54.33
1738260910.687019,816844,64800,1,HR,1,100,708.95
1738260911.690060,817847,64967,1,HR,1,100,564.73
1738260912.894110,819051,65156,1,HR,1,100,450.44
1738260914.097159,820254,65357,1,HR,1,100,361.45
1738260915.037198,821194,65508,1,HR,1,100,295.46
1738260916.383254,822540,191,1,HR,1,100,239.82
1738260917.610305,823767,392,1,HR,1,100,197.46
1738260921.200453,827357,998,1,HR,1,100,157.32
1738260922.253496,828410,1165,1,HR,1,100,135.18
1738260924.896605,831053,1603,1,HR,1,100,110.23
1738260928.415751,834572,2176,1,HR,1,100,89.55
1738260930.875853,837032,2577,1,HR,1,100,75.12
1738260931.015858,837172,2612,1,HR,1,100,153.67
1738260931.788890,837945,2747,1,HR,1,100,136.83
1738260932.852934,839009,2915,1,HR,1,100,119.12
1738260938.799180,844955,3889,1,HR,1,100,94.91
1738260939.009188,845165,3924,1,HR,1,100,137.31
1738260939.799221,845955,4042,1,HR,1,100,123.89
1738260942.332326,848488,4460,1,HR,1,100,101.67
1738260943.585377,849741,4668,1,HR,1,100,89.83
1738260944.845429,851001,4885,1,HR,1,100,80.53
1738260946.061480,852217,5088,1,HR,1,100,73.66
1738260949.278613,855434,5609,1,HR,1,100,61.47
1738260953.674794,859830,6347,1,HR,1,100,50.87
1738260955.064852,861220,6563,1,HR,1,100,49.22
1738260956.394907,862550,6783,1,HR,1,100,48.39
1738260957.597956,863753,6984,1,HR,1,100,48.84
1738260958.771005,864926,7190,1,HR,1,100,49.48
1738260961.104101,867259,7575,1,HR,1,100,44.26
1738260962.211147,868366,7759,1,HR,1,100,46.54
1738260963.187187,869342,7927,1,HR,1,100,49.95
1738260965.101266,871256,8233,1,HR,1,100,45.86
1738260967.560368,873715,8634,1,HR,1,100,41.14
1738260968.900423,875055,8851,1,HR,1,100,42.02
1738260970.220478,876375,9074,1,HR,1,100,42.94
1738260971.567533,877722,9309,1,HR,1,100,43.35
1738260973.843627,879998,9676,1,HR,1,100,39.61
1738260975.163682,881318,9898,1,HR,1,100,41.07
1738260976.293728,882448,10084,1,HR,1,100,43.85
1738260977.289770,883444,10252,1,HR,1,100,47.57
1738260979.296852,885451,10590,1,HR,1,100,43.70
1738260980.382897,886537,10760,1,HR,1,100,46.33
1738260980.455900,886610,10779,1,HR,1,100,226.52
1738260981.692951,887847,10979,1,HR,1,100,187.02
1738260982.876000,889030,11180,1,HR,1,100,156.86
1738260984.206055,890360,11398,1,HR,1,100,132.10
1738260985.566111,891720,11606,1,HR,1,100,112.62
1738260988.019213,894173,12023,1,HR,1,100,93.08
1738260989.246264,895400,12223,1,HR,1,100,83.32
1738260991.135341,897289,12532,1,HR,1,100,71.94
