Timestamp,BI
1738260747.64095,866
1738260748.0415,663
1738260748.90722,709
1738260755.2326,787.5
1738260756.3141,866
1738260756.77406,787.5
1738260757.48302,584.5
1738260758.35906,787.5
1738260759.41787,792.5
1738260759.85006,792.5
1738260760.29835,662.5
1738260761.47613,737
1738260762.85758,690.5
1738260763.47403,548.5
1738260763.95536,464.5
1738260764.72063,548.5
1738260765.06655,588
1738260765.44144,520.5
1738260765.80176,435.5
1738260766.65907,435.5
1738260767.21909,437.5
1738260767.60878,437.5
1738260767.91639,522.5
1738260768.67495,522.5
1738260769.16003,522.5
1738260769.74356,481
1738260770.31849,481
1738260770.63442,481
1738260771.02889,481
1738260771.50582,481
1738260772.03229,474.5
1738260772.4064,474.5
1738260772.73092,474.5
1738260773.31474,474.5
1738260773.78676,501.5
1738260774.39879,555
1738260775.27097,528
1738260775.66424,528
1738260776.60012,528
1738260777.54672,542
1738260778.01034,727.5
1738260778.37855,857.5
1738260778.81224,889.5
1738260780.15403,889.5
1738260780.99746,820.5
1738260782.14891,810
1738260783.35826,822.5
1738260784.15579,822.5
1738260784.64481,833
1738260785.46685,822.5
1738260786.29021,812
1738260786.7869,812
1738260787.64164,800
1738260788.44397,698
1738260788.79378,714
1738260789.62238,635.5
1738260789.98285,610
1738260790.5766,610
1738260791.20275,577.5
1738260791.84747,513
1738260792.18292,513
1738260792.74348,485
1738260793.2085,485
1738260793.58691,485
1738260793.9056,485
1738260794.41049,485
1738260794.81446,533
1738260795.38916,485
1738260796.5749,540
1738260797.68435,602.5
1738260798.43472,642
1738260798.75521,668.5
1738260799.38532,701
1738260800.03895,701
1738260800.72239,668.5
1738260801.50811,642
1738260802.22698,620.5
1738260802.83796,642
1738260803.15458,632.5
1738260803.51429,554.5
1738260804.01181,554.5
1738260804.75904,468.5
1738260805.14066,468.5
1738260805.45185,468.5
1738260806.17188,520
1738260806.61126,558.5
1738260807.57065,574.5
1738260808.4886,558
1738260809.03091,558
1738260809.60575,558
1738260810.18014,523
1738260810.68422,558
1738260811.14991,558
1738260811.54062,523
1738260811.90458,539
1738260812.89889,485
1738260813.75111,439.5
1738260814.12736,439.5
1738260815.37768,402
1738260815.791,480
1738260816.10111,480
1738260816.64847,397
1738260817.02965,397
1738260817.65727,397
1738260817.97039,397
1738260818.32987,370
1738260819.16457,459
1738260819.51192,459
1738260820.04873,582.5
1738260820.35749,686
1738260821.24366,860.5
1738260822.27803,860.5
1738260823.59809,835.5
1738260824.63274,835.5
