LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738260742.006629,594539.000,27935,2,EL,1,100,-13261.200195
1738260742.006629,594539.000,27935,2,EL,1,100,-13261.799805
1738260742.072632,594605.000,27952,1,EL,1,100,-13263.000000
1738260742.139635,594672.000,27969,2,EL,1,100,-13263.799805
1738260742.206637,594739.000,27969,2,EL,1,100,-13264.400391
1738260742.272640,594805.000,27985,1,EL,1,100,-13265.400391
1738260742.339642,594872.000,28002,2,EL,1,100,-13266.799805
1738260742.406645,594939.000,28002,2,EL,1,100,-13267.000000
1738260742.472647,595005.000,28020,1,EL,1,100,-13267.200195
1738260742.539650,595072.000,28035,2,EL,1,100,-13268.000000
1738260742.606652,595139.000,28035,2,EL,1,100,-13268.400391
1738260742.672655,595205.000,28051,1,EL,1,100,-13270.200195
1738260742.739657,595272.000,28067,2,EL,1,100,-13271.000000
1738260742.806660,595339.000,28067,2,EL,1,100,-13271.799805
1738260742.872663,595405.000,28084,1,EL,1,100,-13272.000000
1738260742.939665,595472.000,28099,2,EL,1,100,-13273.000000
1738260743.006668,595539.000,28099,2,EL,1,100,-13273.400391
1738260743.073170,595605.500,28116,2,EL,1,100,-13274.000000
1738260743.139673,595672.000,28116,2,EL,1,100,-13274.599609
1738260743.206675,595739.000,28131,1,EL,1,100,-13275.599609
1738260743.273344,595805.667,28152,3,EL,1,100,-13276.400391
1738260743.340014,595872.333,28152,3,EL,1,100,-13277.000000
1738260743.406683,595939.000,28152,3,EL,1,100,-13278.000000
1738260743.472685,596005.000,28168,1,EL,1,100,-13279.200195
1738260743.539688,596072.000,28187,2,EL,1,100,-13279.599609
1738260743.606690,596139.000,28187,2,EL,1,100,-13280.799805
1738260743.673193,596205.500,28203,2,EL,1,100,-13281.200195
1738260743.739695,596272.000,28203,2,EL,1,100,-13281.000000
1738260743.805698,596338.000,28218,1,EL,1,100,-13281.799805
1738260743.872700,596405.000,28234,2,EL,1,100,-13282.400391
1738260743.939703,596472.000,28234,2,EL,1,100,-13283.599609
1738260744.005705,596538.000,28249,1,EL,1,100,-13284.799805
1738260744.072708,596605.000,28265,2,EL,1,100,-13285.799805
1738260744.139710,596672.000,28265,2,EL,1,100,-13286.200195
1738260744.205713,596738.000,28280,1,EL,1,100,-13287.200195
1738260744.272716,596805.000,28298,2,EL,1,100,-13287.599609
1738260744.339718,596872.000,28298,2,EL,1,100,-13288.799805
1738260744.406721,596939.000,28314,1,EL,1,100,-13289.400391
1738260744.473223,597005.500,28331,2,EL,1,100,-13290.599609
1738260744.539726,597072.000,28331,2,EL,1,100,-13291.000000
1738260744.605728,597138.000,28346,1,EL,1,100,-13291.200195
1738260744.672731,597205.000,28363,2,EL,1,100,-13292.599609
1738260744.739733,597272.000,28363,2,EL,1,100,-13294.200195
1738260744.805736,597338.000,28378,1,EL,1,100,-13295.400391
1738260744.872738,597405.000,28393,2,EL,1,100,-13296.000000
1738260744.939741,597472.000,28393,2,EL,1,100,-13296.599609
1738260745.005743,597538.000,28410,1,EL,1,100,-13297.000000
1738260745.072746,597605.000,28427,2,EL,1,100,-13297.599609
1738260745.139749,597672.000,28427,2,EL,1,100,-13298.000000
1738260745.205751,597738.000,28444,1,EL,1,100,-13298.799805
