LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1738263920.612816,191879.000,27884,1,GZ,1,100,-0.580
1738263920.652818,191919.000,27899,3,GZ,1,100,-1.892
1738263920.692819,191959.000,27899,3,GZ,1,100,-3.021
1738263920.732821,191999.000,27899,3,GZ,1,100,-3.998
1738263920.772822,192039.000,27917,2,GZ,1,100,-3.448
1738263920.812824,192079.000,27917,2,GZ,1,100,-1.831
1738263920.852825,192119.000,27933,3,GZ,1,100,-0.061
1738263920.892827,192159.000,27933,3,GZ,1,100,0.946
1738263920.932828,192199.000,27933,3,GZ,1,100,0.854
1738263920.972830,192239.000,27955,2,GZ,1,100,0.153
1738263921.012831,192279.000,27955,2,GZ,1,100,-1.251
1738263921.052500,192318.667,27972,3,GZ,1,100,-2.441
1738263921.092168,192358.333,27972,3,GZ,1,100,-2.899
1738263921.131836,192398.000,27972,3,GZ,1,100,-2.533
1738263921.172171,192438.333,27988,3,GZ,1,100,-1.709
1738263921.212506,192478.667,27988,3,GZ,1,100,-0.671
1738263921.252840,192519.000,27988,3,GZ,1,100,0.275
1738263921.292342,192558.500,28004,2,GZ,1,100,0.702
1738263921.331843,192598.000,28004,2,GZ,1,100,0.793
1738263921.372178,192638.333,28021,3,GZ,1,100,1.038
1738263921.412513,192678.667,28021,3,GZ,1,100,2.167
1738263921.452848,192719.000,28021,3,GZ,1,100,2.502
1738263921.492850,192759.000,28036,2,GZ,1,100,0.397
1738263921.532851,192799.000,28036,2,GZ,1,100,-1.068
1738263921.579353,192845.500,28053,2,GZ,1,100,0.000
1738263921.625854,192892.000,28053,2,GZ,1,100,0.580
1738263921.665856,192932.000,28068,3,GZ,1,100,-0.214
1738263921.705858,192972.000,28068,3,GZ,1,100,-0.549
1738263921.745859,193012.000,28068,3,GZ,1,100,1.282
1738263921.785861,193052.000,28083,3,GZ,1,100,2.014
1738263921.825862,193092.000,28083,3,GZ,1,100,1.190
1738263921.865864,193132.000,28083,3,GZ,1,100,-0.061
1738263921.905865,193172.000,28101,2,GZ,1,100,-0.977
1738263921.945867,193212.000,28101,2,GZ,1,100,-1.373
1738263921.985868,193252.000,28117,3,GZ,1,100,-1.068
1738263922.025870,193292.000,28117,3,GZ,1,100,-0.671
1738263922.065871,193332.000,28117,3,GZ,1,100,-0.702
1738263922.105873,193372.000,28132,2,GZ,1,100,-0.702
1738263922.145874,193412.000,28132,2,GZ,1,100,-0.732
1738263922.185876,193452.000,28150,3,GZ,1,100,-0.549
1738263922.225877,193492.000,28150,3,GZ,1,100,0.092
1738263922.265879,193532.000,28150,3,GZ,1,100,0.458
1738263922.305880,193572.000,28165,2,GZ,1,100,0.519
1738263922.345882,193612.000,28165,2,GZ,1,100,0.427
1738263922.385883,193652.000,28185,3,GZ,1,100,0.580
1738263922.425885,193692.000,28185,3,GZ,1,100,0.793
1738263922.465886,193732.000,28185,3,GZ,1,100,0.916
1738263922.505888,193772.000,28200,2,GZ,1,100,0.702
1738263922.545889,193812.000,28200,2,GZ,1,100,0.732
