LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1738263920.610816,191877.000,27873,1,SF,1,100,21.5604
1738263920.944829,192211.000,27921,1,SF,1,100,23.3933
1738263921.343844,192610.000,27992,1,SF,1,100,25.2049
1738263921.610854,192877.000,28041,1,SF,1,100,24.9134
1738263921.943866,193210.000,28089,1,SF,1,100,24.6252
1738263922.343882,193610.000,28154,1,SF,1,100,26.4225
1738263922.677894,193944.000,28205,1,SF,1,100,26.1169
1738263922.943904,194210.000,28251,1,SF,1,100,25.8148
1738263923.277917,194544.000,28298,1,SF,1,100,25.5161
1738263923.677932,194944.000,28362,1,SF,1,100,25.2210
1738263923.943942,195210.000,28413,1,SF,1,100,27.0115
1738263924.277955,195544.000,28460,1,SF,1,100,26.6990
1738263924.677970,195944.000,28524,1,SF,1,100,28.4724
1738263925.010983,196277.000,28570,1,SF,1,100,28.1430
1738263925.277993,196544.000,28618,1,SF,1,100,27.8175
1738263925.611006,196877.000,28666,1,SF,1,100,29.5779
1738263926.011021,197277.000,28728,1,SF,1,100,29.2358
1738263926.277031,197543.000,28783,1,SF,1,100,30.9798
1738263926.611044,197877.000,28833,1,SF,1,100,30.6214
1738263926.944056,198210.000,28883,1,SF,1,100,30.2672
1738263927.344071,198610.000,28949,1,SF,1,100,29.9171
1738263927.611082,198877.000,28998,1,SF,1,100,29.5710
1738263927.944094,199210.000,29048,1,SF,1,100,29.2289
1738263928.344109,199610.000,29116,1,SF,1,100,28.8908
1738263928.677122,199943.000,29166,1,SF,1,100,28.5566
1738263928.944132,200210.000,29216,1,SF,1,100,28.2262
1738263929.277145,200543.000,29265,1,SF,1,100,27.8997
1738263929.677160,200943.000,29333,1,SF,1,100,27.5770
1738263929.944170,201210.000,29384,1,SF,1,100,27.2579
1738263930.277183,201543.000,29433,1,SF,1,100,26.9426
1738263930.610195,201876.000,29482,1,SF,1,100,26.6309
1738263931.010211,202276.000,29548,1,SF,1,100,28.4051
1738263931.277220,202543.000,29602,1,SF,1,100,30.1588
1738263931.610233,202876.000,29649,1,SF,1,100,29.8099
1738263932.010248,203276.000,29711,1,SF,1,100,29.4651
1738263932.343261,203609.000,29759,1,SF,1,100,31.2065
1738263932.610271,203876.000,29807,1,SF,1,100,30.8455
1738263932.943284,204209.000,29853,1,SF,1,100,30.4886
1738263933.343299,204609.000,29917,1,SF,1,100,30.1359
1738263933.610309,204876.000,29964,1,SF,1,100,29.7873
1738263933.943322,205209.000,30011,1,SF,1,100,29.4428
1738263934.277334,205543.000,30058,1,SF,1,100,29.1022
1738263934.676349,205942.000,30120,1,SF,1,100,28.7655
1738263934.943360,206209.000,30168,1,SF,1,100,30.5150
1738263935.276372,206542.000,30215,1,SF,1,100,30.1620
1738263935.610385,206876.000,30262,1,SF,1,100,29.8131
1738263936.010400,207276.000,30326,1,SF,1,100,31.5504
1738263936.410415,207676.000,30376,1,SF,1,100,31.1855
1738263936.610423,207876.000,30407,1,SF,1,100,30.8247
1738263937.010438,208276.000,30471,1,SF,1,100,32.5504
1738263937.276448,208542.000,30519,1,SF,1,100,32.1738
1738263937.610461,208876.000,30565,1,SF,1,100,31.8017
1738263937.943473,209209.000,30614,1,SF,1,100,33.5160
1738263938.343488,209609.000,30678,1,SF,1,100,33.1283
1738263938.609499,209875.000,30725,1,SF,1,100,32.7451
1738263938.943511,210209.000,30772,1,SF,1,100,32.3663
1738263939.343526,210609.000,30836,1,SF,1,100,34.0741
1738263939.676539,210942.000,30882,1,SF,1,100,33.6799
1738263940.009552,211275.000,30930,1,SF,1,100,33.2903
1738263940.276562,211542.000,30978,1,SF,1,100,34.9875
1738263940.609575,211875.000,31025,1,SF,1,100,34.5827
1738263941.009590,212275.000,31087,1,SF,1,100,34.1827
1738263941.276600,212542.000,31134,1,SF,1,100,33.7873
1738263941.676615,212942.000,31187,1,SF,1,100,33.3964
1738263941.943625,213209.000,31235,1,SF,1,100,33.0101
1738263942.276638,213542.000,31281,1,SF,1,100,32.6282
1738263942.609650,213875.000,31328,1,SF,1,100,32.2508
1738263943.009665,214275.000,31392,1,SF,1,100,33.9599
1738263943.276676,214542.000,31439,1,SF,1,100,33.5671
1738263943.609688,214875.000,31488,1,SF,1,100,33.1788
1738263944.009703,215275.000,31550,1,SF,1,100,32.7950
1738263944.276714,215542.000,31598,1,SF,1,100,34.4978
1738263944.609726,215875.000,31648,1,SF,1,100,36.1810
1738263944.942739,216208.000,31694,1,SF,1,100,35.7625
1738263945.342754,216608.000,31756,1,SF,1,100,35.3488
1738263945.609764,216875.000,31805,1,SF,1,100,37.0221
1738263945.942777,217208.000,31852,1,SF,1,100,36.5938
1738263946.342792,217608.000,31914,1,SF,1,100,36.1705
1738263946.609802,217875.000,31949,1,SF,1,100,35.7521
1738263946.942815,218208.000,31998,1,SF,1,100,37.4208
1738263947.342830,218608.000,32062,1,SF,1,100,36.9879
1738263947.609840,218875.000,32111,1,SF,1,100,38.6422
1738263947.942852,219208.000,32159,1,SF,1,100,38.1952
1738263948.342868,219608.000,32223,1,SF,1,100,37.7534
1738263948.675880,219941.000,32273,1,SF,1,100,37.3167
1738263948.942890,220208.000,32319,1,SF,1,100,36.8850
1738263949.275903,220541.000,32368,1,SF,1,100,38.5405
1738263949.675918,220941.000,32430,1,SF,1,100,38.0947
1738263949.942928,221208.000,32477,1,SF,1,100,37.6540
1738263950.275941,221541.000,32526,1,SF,1,100,39.3007
1738263950.608954,221874.000,32574,1,SF,1,100,40.9283
1738263951.008969,222274.000,32638,1,SF,1,100,42.5371
1738263951.275979,222541.000,32690,1,SF,1,100,46.2095
1738263951.608992,222874.000,32736,1,SF,1,100,45.6750
1738263952.009007,223274.000,32805,1,SF,1,100,45.1466
1738263952.276017,223541.000,32852,1,SF,1,100,44.6243
1738263952.609030,223874.000,32898,1,SF,1,100,44.1081
1738263953.009045,224274.000,32961,1,SF,1,100,43.5979
1738263953.342057,224607.000,33010,1,SF,1,100,43.0935
1738263953.609067,224874.000,33060,1,SF,1,100,46.7595
1738263953.942080,225207.000,33107,1,SF,1,100,46.2186
1738263954.342095,225607.000,33169,1,SF,1,100,45.6840
1738263954.609105,225874.000,33218,1,SF,1,100,47.2377
1738263954.942118,226207.000,33265,1,SF,1,100,46.6913
1738263955.275131,226540.000,33311,1,SF,1,100,46.1512
1738263955.675146,226940.000,33373,1,SF,1,100,45.6173
1738263955.942156,227207.000,33421,1,SF,1,100,45.0896
1738263956.275169,227540.000,33469,1,SF,1,100,44.5680
1738263956.675184,227940.000,33531,1,SF,1,100,44.0524
1738263956.942194,228207.000,33569,1,SF,1,100,43.5428
1738263957.275207,228540.000,33615,1,SF,1,100,43.0391
1738263957.675222,228940.000,33679,1,SF,1,100,44.6235
1738263957.942232,229207.000,33727,1,SF,1,100,44.1073
1738263958.275244,229540.000,33773,1,SF,1,100,43.5970
1738263958.675260,229940.000,33837,1,SF,1,100,43.0927
1738263959.008272,230273.000,33886,1,SF,1,100,44.6764
1738263959.275282,230540.000,33933,1,SF,1,100,44.1596
1738263959.608295,230873.000,33980,1,SF,1,100,43.6488
1738263960.008310,231273.000,34042,1,SF,1,100,43.1439
1738263960.275320,231540.000,34088,1,SF,1,100,42.6448
1738263960.608333,231873.000,34136,1,SF,1,100,42.1514
1738263961.008348,232273.000,34200,1,SF,1,100,41.6638
1738263961.341361,232606.000,34246,1,SF,1,100,41.1819
1738263961.608371,232873.000,34295,1,SF,1,100,42.7877
1738263962.008386,233273.000,34347,1,SF,1,100,44.3750
1738263962.275396,233540.000,34395,1,SF,1,100,45.9439
1738263962.608409,233873.000,34442,1,SF,1,100,45.4124
1738263963.008424,234273.000,34505,1,SF,1,100,44.8871
1738263963.341437,234606.000,34551,1,SF,1,100,44.3679
1738263963.608447,234873.000,34600,1,SF,1,100,43.8546
1738263963.941459,235206.000,34646,1,SF,1,100,43.3473
1738263964.341475,235606.000,34710,1,SF,1,100,44.9281
1738263964.608485,235873.000,34758,1,SF,1,100,44.4084
