LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1738263919.477773,190744,27905,1,SR,1,100,1.266667
1738263921.010831,192277,27960,1,SR,1,100,0.066667
1738263921.743859,193010,28138,1,SR,1,100,0.400000
1738263923.343920,194610,28412,1,SR,1,100,0.533333
1738263924.277955,195544,28507,1,SR,1,100,0.200000
1738263924.744973,196011,28665,1,SR,1,100,0.733333
1738263925.945018,197211,28765,1,SR,1,100,0.133333
1738263930.410188,201676,29499,1,SR,1,100,0.200000
1738263930.744200,202010,29550,1,SR,1,100,0.200000
1738263931.077213,202343,29728,1,SR,1,100,1.000000
1738263934.477342,205743,30122,1,SR,1,100,0.133333
1738263935.410377,206676,30280,1,SR,1,100,0.200000
1738263935.876395,207142,30440,1,SR,1,100,0.800000
1738263936.944435,208210,30583,1,SR,1,100,0.733333
1738263938.877509,210143,30789,1,SR,1,100,0.066667
1738263940.009552,211275,30977,1,SR,1,100,0.200000
1738263942.476645,213742,31345,1,SR,1,100,0.133333
1738263942.743655,214009,31582,1,SR,1,100,1.333333
1738263944.209711,215475,31631,1,SR,1,100,0.200000
1738263944.809734,216075,31804,1,SR,1,100,0.733333
1738263946.475797,217741,31966,1,SR,1,100,0.133333
1738263947.142822,218408,32094,1,SR,1,100,0.266667
1738263948.476873,219742,32337,1,SR,1,100,0.533333
1738263949.675918,220941,32494,1,SR,1,100,0.333333
1738263950.275941,221541,32559,1,SR,1,100,0.066667
1738263950.475949,221741,32592,1,SR,1,100,0.133333
1738263950.875964,222141,32640,1,SR,1,100,0.066667
1738263951.075971,222341,32673,1,SR,1,100,0.066667
1738263952.609030,223874,33027,1,SR,1,100,0.733333
1738263953.476062,224741,33059,1,SR,1,100,0.066667
1738263954.209090,225474,33171,1,SR,1,100,0.066667
1738263955.475138,226740,33664,1,SR,1,100,2.000000
1738263958.142239,229407,33870,1,SR,1,100,0.666667
1738263960.808341,232073,34264,1,SR,1,100,0.533333
1738263961.476366,232741,34312,1,SR,1,100,0.133333
1738263961.875381,233140,34379,1,SR,1,100,0.266667
1738263963.875457,235140,34664,1,SR,1,100,0.066667
1738263965.141505,236406,34946,1,SR,1,100,0.600000
1738263966.141543,237406,35072,1,SR,1,100,0.400000
1738263967.208583,238473,35282,1,SR,1,100,0.733333
1738263968.874646,240139,35442,1,SR,1,100,0.133333
1738263969.674677,240939,35584,1,SR,1,100,0.200000
1738263970.008689,241273,35617,1,SR,1,100,0.066667
1738263970.607712,241872,35713,1,SR,1,100,0.133333
1738263970.874722,242139,35855,1,SR,1,100,0.733333
1738263971.741755,243006,35957,1,SR,1,100,0.533333
1738263973.340816,244605,36132,1,SR,1,100,0.066667
1738263974.208849,245473,36259,1,SR,1,100,0.066667
1738263974.540861,245805,36399,1,SR,1,100,0.600000
1738263976.741945,248006,36719,1,SR,1,100,0.466667
1738263977.473973,248738,36815,1,SR,1,100,0.400000
1738263980.407084,251671,37270,1,SR,1,100,0.400000
1738263981.740134,253004,37545,1,SR,1,100,0.866667
1738263983.807213,255071,37767,1,SR,1,100,0.266667
1738263984.474238,255738,37862,1,SR,1,100,0.133333
1738263985.140263,256404,38020,1,SR,1,100,0.533333
1738263985.807289,257071,38068,1,SR,1,100,0.133333
1738263986.207304,257471,38132,1,SR,1,100,0.133333
1738263986.607319,257871,38196,1,SR,1,100,0.133333
1738263986.873329,258137,38246,1,SR,1,100,0.200000
1738263989.407425,260671,38660,1,SR,1,100,0.400000
1738263998.472769,269736,40051,1,SR,1,100,0.333333
1738263999.205797,270469,40161,1,SR,1,100,0.333333
1738264001.473883,272737,40615,1,SR,1,100,1.000000
1738264004.607002,275870,40983,1,SR,1,100,0.333333
1738264005.072019,276335,41032,1,SR,1,100,0.133333
1738264009.339181,280602,41788,1,SR,1,100,0.866667
1738264011.806275,283069,42086,1,SR,1,100,0.333333
1738264012.272292,283535,42166,1,SR,1,100,0.333333
1738264012.739310,284002,42199,1,SR,1,100,0.066667
1738264013.738348,285001,42349,1,SR,1,100,0.066667
1738264014.338371,285601,42586,1,SR,1,100,0.933333
1738264016.339447,287602,42762,1,SR,1,100,0.066667
1738264017.271482,288534,42953,1,SR,1,100,0.333333
1738264018.538530,289801,43136,1,SR,1,100,0.266667
1738264019.271558,290534,43265,1,SR,1,100,0.333333
1738264023.471717,294734,43882,1,SR,1,100,0.133333
1738264034.804147,306066,45635,1,SR,1,100,0.200000
1738264035.271164,306533,45699,1,SR,1,100,0.133333
1738264037.404245,308666,46016,1,SR,1,100,0.200000
1738264053.536857,324798,48421,1,SR,1,100,0.266667
1738264054.335887,325597,48630,1,SR,1,100,0.866667
1738264055.468930,326730,48696,1,SR,1,100,0.133333
1738264055.735940,326997,48806,1,SR,1,100,0.600000
1738264056.468968,327730,48838,1,SR,1,100,0.066667
1738264057.202996,328464,48967,1,SR,1,100,0.133333
1738264058.002027,329263,49094,1,SR,1,100,0.133333
1738264058.402042,329663,49193,1,SR,1,100,0.333333
1738264059.270075,330531,49310,1,SR,1,100,0.200000
1738264062.069181,333330,49765,1,SR,1,100,0.400000
1738264062.602201,333863,49894,1,SR,1,100,0.666667
1738264063.402231,334663,49958,1,SR,1,100,0.200000
1738264064.135259,335396,50076,1,SR,1,100,0.266667
