LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738265309.316821,1583486.000,47423,1,AZ,1,100,0.890
1738265309.366191,1583532.500,47440,2,AZ,1,100,0.891
1738265309.415561,1583579.000,47440,2,AZ,1,100,0.892
1738265309.458383,1583619.333,47456,3,AZ,1,100,0.890
1738265309.501206,1583659.667,47456,3,AZ,1,100,0.889
1738265309.544028,1583700.000,47456,3,AZ,1,100,0.891
1738265309.585966,1583739.500,47472,2,AZ,1,100,0.888
1738265309.627904,1583779.000,47472,2,AZ,1,100,0.889
1738265309.670372,1583819.000,47487,3,AZ,1,100,0.890
1738265309.712841,1583859.000,47487,3,AZ,1,100,0.889
1738265309.755310,1583899.000,47487,3,AZ,1,100,0.893
1738265309.798309,1583939.500,47502,2,AZ,1,100,0.889
1738265309.841309,1583980.000,47502,2,AZ,1,100,0.893
1738265309.883777,1584020.000,47519,3,AZ,1,100,0.891
1738265309.926246,1584060.000,47519,3,AZ,1,100,0.890
1738265309.968714,1584100.000,47519,3,AZ,1,100,0.892
1738265310.011183,1584140.000,47534,2,AZ,1,100,0.893
1738265310.053652,1584180.000,47534,2,AZ,1,100,0.890
1738265310.095766,1584219.667,47549,3,AZ,1,100,0.889
1738265310.137881,1584259.333,47549,3,AZ,1,100,0.892
1738265310.179996,1584299.000,47549,3,AZ,1,100,0.891
1738265310.222464,1584339.000,47567,3,AZ,1,100,0.888
1738265310.264933,1584379.000,47567,3,AZ,1,100,0.894
1738265310.307402,1584419.000,47567,3,AZ,1,100,0.891
1738265310.349870,1584459.000,47585,2,AZ,1,100,0.893
1738265310.392339,1584499.000,47585,2,AZ,1,100,0.886
1738265310.434807,1584539.000,47600,3,AZ,1,100,0.896
1738265310.477276,1584579.000,47600,3,AZ,1,100,0.889
1738265310.519745,1584619.000,47600,3,AZ,1,100,0.891
1738265310.569645,1584666.000,47615,2,AZ,1,100,0.891
1738265310.619546,1584713.000,47615,2,AZ,1,100,0.891
1738265310.662014,1584753.000,47631,2,AZ,1,100,0.891
1738265310.704483,1584793.000,47631,2,AZ,1,100,0.891
1738265310.746952,1584833.000,47647,3,AZ,1,100,0.892
1738265310.789420,1584873.000,47647,3,AZ,1,100,0.891
1738265310.831889,1584913.000,47647,3,AZ,1,100,0.894
1738265310.874357,1584953.000,47662,2,AZ,1,100,0.891
1738265310.916826,1584993.000,47662,2,AZ,1,100,0.889
1738265310.959295,1585033.000,47681,3,AZ,1,100,0.892
1738265311.001763,1585073.000,47681,3,AZ,1,100,0.891
1738265311.044232,1585113.000,47681,3,AZ,1,100,0.888
1738265311.086701,1585153.000,47695,3,AZ,1,100,0.890
1738265311.129169,1585193.000,47695,3,AZ,1,100,0.895
1738265311.171638,1585233.000,47695,3,AZ,1,100,0.887
1738265311.213753,1585272.667,47716,3,AZ,1,100,0.889
