LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738265309.330623,1583499.000,47420,3,PG,1,100,4989
1738265309.330623,1583499.000,47420,3,PG,1,100,5012
1738265309.330623,1583499.000,47420,3,PG,1,100,4987
1738265309.340951,1583508.727,47434,11,PG,1,100,5007
1738265309.351279,1583518.455,47434,11,PG,1,100,5003
1738265309.361606,1583528.182,47434,11,PG,1,100,4962
1738265309.371934,1583537.909,47434,11,PG,1,100,4983
1738265309.382262,1583547.636,47434,11,PG,1,100,5019
1738265309.392589,1583557.364,47434,11,PG,1,100,5002
1738265309.402917,1583567.091,47434,11,PG,1,100,4959
1738265309.413244,1583576.818,47434,11,PG,1,100,4988
1738265309.423572,1583586.545,47434,11,PG,1,100,4985
1738265309.433899,1583596.273,47434,11,PG,1,100,4977
1738265309.444227,1583606.000,47434,11,PG,1,100,4967
1738265309.455316,1583616.444,47450,9,PG,1,100,5015
1738265309.466405,1583626.889,47450,9,PG,1,100,4993
1738265309.477494,1583637.333,47450,9,PG,1,100,5001
1738265309.488583,1583647.778,47450,9,PG,1,100,5010
1738265309.499672,1583658.222,47450,9,PG,1,100,4986
1738265309.510761,1583668.667,47450,9,PG,1,100,4993
1738265309.521850,1583679.111,47450,9,PG,1,100,4985
1738265309.532939,1583689.556,47450,9,PG,1,100,4982
1738265309.544028,1583700.000,47450,9,PG,1,100,4996
1738265309.555282,1583710.600,47466,10,PG,1,100,4988
1738265309.566537,1583721.200,47466,10,PG,1,100,4995
1738265309.577791,1583731.800,47466,10,PG,1,100,5014
1738265309.589045,1583742.400,47466,10,PG,1,100,4970
1738265309.600299,1583753.000,47466,10,PG,1,100,4997
1738265309.611553,1583763.600,47466,10,PG,1,100,4978
1738265309.622808,1583774.200,47466,10,PG,1,100,5016
1738265309.634062,1583784.800,47466,10,PG,1,100,5012
1738265309.645316,1583795.400,47466,10,PG,1,100,4990
1738265309.656570,1583806.000,47466,10,PG,1,100,4981
1738265309.666898,1583815.727,47482,11,PG,1,100,4976
1738265309.677225,1583825.455,47482,11,PG,1,100,4966
1738265309.687553,1583835.182,47482,11,PG,1,100,4977
1738265309.697881,1583844.909,47482,11,PG,1,100,4991
1738265309.708208,1583854.636,47482,11,PG,1,100,5000
1738265309.718536,1583864.364,47482,11,PG,1,100,4996
1738265309.728863,1583874.091,47482,11,PG,1,100,4971
1738265309.739191,1583883.818,47482,11,PG,1,100,4978
1738265309.749518,1583893.545,47482,11,PG,1,100,4948
1738265309.759846,1583903.273,47482,11,PG,1,100,4987
1738265309.770174,1583913.000,47482,11,PG,1,100,4960
1738265309.781145,1583923.333,47496,9,PG,1,100,4966
1738265309.792116,1583933.667,47496,9,PG,1,100,4992
1738265309.803087,1583944.000,47496,9,PG,1,100,4974
1738265309.814058,1583954.333,47496,9,PG,1,100,4944
1738265309.825029,1583964.667,47496,9,PG,1,100,4958
1738265309.836000,1583975.000,47496,9,PG,1,100,4984
1738265309.846971,1583985.333,47496,9,PG,1,100,4962
1738265309.857942,1583995.667,47496,9,PG,1,100,4960
1738265309.868913,1584006.000,47496,9,PG,1,100,4961
1738265309.879241,1584015.727,47513,11,PG,1,100,4979
1738265309.889568,1584025.455,47513,11,PG,1,100,4936
1738265309.899896,1584035.182,47513,11,PG,1,100,4958
1738265309.910223,1584044.909,47513,11,PG,1,100,4947
1738265309.920551,1584054.636,47513,11,PG,1,100,4967
1738265309.930879,1584064.364,47513,11,PG,1,100,4931
1738265309.941206,1584074.091,47513,11,PG,1,100,4959
1738265309.951534,1584083.818,47513,11,PG,1,100,4968
1738265309.961862,1584093.545,47513,11,PG,1,100,4949
1738265309.972189,1584103.273,47513,11,PG,1,100,4943
1738265309.982517,1584113.000,47513,11,PG,1,100,4971
